subnum,trial,phase,rt,timestamp
etuhaou,1,practice,999,Thu Dec  4 12:26:51 2025
etuhaou,2,practice,389,Thu Dec  4 12:26:53 2025
etuhaou,3,practice,290,Thu Dec  4 12:26:54 2025
etuhaou,4,practice,315,Thu Dec  4 12:26:55 2025
etuhaou,5,practice,305,Thu Dec  4 12:26:56 2025
etuhaou,1,test,900,Thu Dec  4 12:27:00 2025
etuhaou,2,test,512,Thu Dec  4 12:27:01 2025
etuhaou,3,test,370,Thu Dec  4 12:27:02 2025
etuhaou,4,test,450,Thu Dec  4 12:27:02 2025
etuhaou,5,test,519,Thu Dec  4 12:27:03 2025
etuhaou,6,test,583,Thu Dec  4 12:27:04 2025
etuhaou,7,test,500,Thu Dec  4 12:27:05 2025
etuhaou,8,test,557,Thu Dec  4 12:27:05 2025
etuhaou,9,test,352,Thu Dec  4 12:27:06 2025
etuhaou,10,test,349,Thu Dec  4 12:27:07 2025
etuhaou,11,test,380,Thu Dec  4 12:27:07 2025
etuhaou,12,test,319,Thu Dec  4 12:27:08 2025
etuhaou,13,test,376,Thu Dec  4 12:27:09 2025
etuhaou,14,test,266,Thu Dec  4 12:27:09 2025
etuhaou,15,test,245,Thu Dec  4 12:27:10 2025
etuhaou,16,test,744,Thu Dec  4 12:27:11 2025
etuhaou,17,test,317,Thu Dec  4 12:27:11 2025
etuhaou,18,test,188,Thu Dec  4 12:27:12 2025
etuhaou,19,test,220,Thu Dec  4 12:27:12 2025
etuhaou,20,test,190,Thu Dec  4 12:27:12 2025
