subnum,trial,phase,response,rt,timestamp
tht,1,practice,right,1000,Thu Dec  4 12:42:35 2025
tht,2,practice,right,344,Thu Dec  4 12:42:36 2025
tht,3,practice,left,86,Thu Dec  4 12:42:37 2025
tht,4,practice,left,91,Thu Dec  4 12:42:38 2025
tht,5,practice,right,22,Thu Dec  4 12:42:39 2025
tht,1,test,right,563,Thu Dec  4 12:42:41 2025
tht,2,test,right,200,Thu Dec  4 12:42:41 2025
tht,3,test,right,53,Thu Dec  4 12:42:42 2025
tht,4,test,left,257,Thu Dec  4 12:42:42 2025
tht,5,test,right,3,Thu Dec  4 12:42:42 2025
tht,6,test,right,164,Thu Dec  4 12:42:43 2025
tht,7,test,right,59,Thu Dec  4 12:42:43 2025
tht,8,test,right,266,Thu Dec  4 12:42:44 2025
tht,9,test,left,164,Thu Dec  4 12:42:44 2025
tht,10,test,right,135,Thu Dec  4 12:42:45 2025
tht,11,test,left,191,Thu Dec  4 12:42:45 2025
tht,12,test,left,253,Thu Dec  4 12:42:45 2025
tht,13,test,right,3,Thu Dec  4 12:42:46 2025
tht,14,test,left,44,Thu Dec  4 12:42:46 2025
tht,15,test,left,476,Thu Dec  4 12:42:47 2025
tht,16,test,right,8,Thu Dec  4 12:42:47 2025
tht,17,test,right,257,Thu Dec  4 12:42:48 2025
tht,18,test,right,267,Thu Dec  4 12:42:48 2025
tht,19,test,right,174,Thu Dec  4 12:42:48 2025
tht,20,test,right,251,Thu Dec  4 12:42:49 2025
