subnum,trial,phase,rt,timestamp
thth,1,practice,3134,Thu Dec  4 12:23:30 2025
thth,2,practice,365,Thu Dec  4 12:23:31 2025
thth,3,practice,357,Thu Dec  4 12:23:33 2025
thth,4,practice,266,Thu Dec  4 12:23:34 2025
thth,5,practice,271,Thu Dec  4 12:23:35 2025
thth,1,practice,left,7539,Thu Dec  4 12:38:47 2025
thth,2,practice,right,308,Thu Dec  4 12:38:48 2025
thth,3,practice,right,321,Thu Dec  4 12:38:50 2025
thth,4,practice,left,135,Thu Dec  4 12:38:50 2025
thth,5,practice,left,113,Thu Dec  4 12:38:51 2025
thth,1,test,right,990,Thu Dec  4 12:38:54 2025
thth,2,test,right,329,Thu Dec  4 12:38:54 2025
thth,3,test,left,381,Thu Dec  4 12:38:55 2025
thth,4,test,left,234,Thu Dec  4 12:38:55 2025
thth,5,test,right,457,Thu Dec  4 12:38:56 2025
