subnum,trial,phase,response,rt,timestamp
tth,1,practice,left,2169,Thu Dec  4 12:48:14 2025
tth,2,practice,left,351,Thu Dec  4 12:48:15 2025
tth,3,practice,right,338,Thu Dec  4 12:48:16 2025
tth,4,practice,right,238,Thu Dec  4 12:48:17 2025
tth,5,practice,left,646,Thu Dec  4 12:48:19 2025
tth,1,test,left,768,Thu Dec  4 12:48:21 2025
tth,2,test,right,2265,Thu Dec  4 12:48:24 2025
tth,3,test,right,429,Thu Dec  4 12:48:24 2025
tth,4,test,left,873,Thu Dec  4 12:48:26 2025
tth,5,test,left,382,Thu Dec  4 12:48:26 2025
tth,6,test,right,851,Thu Dec  4 12:48:27 2025
tth,7,test,right,332,Thu Dec  4 12:48:28 2025
tth,8,test,left,965,Thu Dec  4 12:48:29 2025
tth,9,test,left,528,Thu Dec  4 12:48:30 2025
tth,10,test,right,993,Thu Dec  4 12:48:31 2025
tth,11,test,right,374,Thu Dec  4 12:48:32 2025
tth,12,test,right,372,Thu Dec  4 12:48:32 2025
tth,13,test,left,724,Thu Dec  4 12:48:33 2025
tth,14,test,left,332,Thu Dec  4 12:48:34 2025
tth,15,test,right,900,Thu Dec  4 12:48:35 2025
tth,16,test,right,253,Thu Dec  4 12:48:36 2025
tth,17,test,right,185,Thu Dec  4 12:48:36 2025
tth,18,test,right,176,Thu Dec  4 12:48:36 2025
tth,19,test,right,199,Thu Dec  4 12:48:37 2025
tth,20,test,right,183,Thu Dec  4 12:48:37 2025
