subnum,trial,targtime,resptime,acc,shortlong
116,1,4947.37,4926,0.00431915,-1
116,2,7473.68,7541,0.00900704,1
116,3,2421.05,2684,0.108609,1
116,4,9578.95,9394,0.0193077,-1
116,5,3684.21,5002,0.357686,1
116,6,4105.26,4120,0.00358974,1
116,7,3263.16,3725,0.141532,1
116,8,10000,9774,0.0226,-1
116,9,2842.11,3502,0.232185,1
116,10,5789.47,5204,0.101127,-1
116,11,5368.42,5519,0.028049,1
116,12,2000,2379,0.1895,1
116,13,8315.79,7858,0.0550506,-1
116,14,9157.89,7235,0.209971,-1
116,15,6210.53,6416,0.0330847,1
116,16,6631.58,6321,0.0468333,-1
116,17,7052.63,7203,0.0213209,1
116,18,8736.84,7459,0.146259,-1
116,19,4526.32,4461,0.0144302,-1
116,20,7894.74,8222,0.0414533,1
116,1,2421.05,2370,0.021087,-1
116,2,9578.95,8859,0.0751593,-1
