sub,trial,size,current,end,step,abstime,trialtime,clicktime,done
15616,1,3,131,313,0,2092,0,0,0
15616,1,3,131,313,1,13615,11523,11523,0
15616,1,3,121,313,2,14946,12854,1331,0
15616,1,3,122,313,3,15586,13494,640,0
15616,1,3,322,313,4,16174,14082,588,0
15616,1,3,323,313,5,17637,15545,1463,0
15616,1,3,313,313,6,18242,16150,605,1
15616,2,3,122,222,0,24505,0,0,0
15616,2,3,123,222,1,26371,1866,1866,0
15616,2,3,113,222,2,26851,2346,480,0
15616,2,3,123,222,3,28864,4359,2013,0
15616,2,3,121,222,4,30028,5523,1164,0
15616,2,3,131,222,5,30593,6088,565,0
15616,2,3,133,222,6,31358,6853,765,0
15616,2,3,233,222,7,31956,7451,598,0
15616,2,3,231,222,8,32730,8225,774,0
15616,2,3,221,222,9,33271,8766,541,0
15616,2,3,222,222,10,33855,9350,584,1
15616,3,3,331,221,0,37112,0,0,0
