sub,trial,size,current,end,step,reset,tries,score,abstime,trialtime,clicktime,done
15151,1,3,|3|1|2|,|2|31||,0,0,1,0,6500,0,0,0
15151,1,3,||13|2|,|2|31||,1,0,1,0,7988,1488,1488,0
15151,1,3,||132||,|2|31||,2,0,1,0,8936,2436,948,0
15151,1,3,||13|2|,|2|31||,3,0,1,0,10652,4152,1716,0
15151,1,3,|3|1|2|,|2|31||,4,0,1,0,11432,4932,780,0
15151,1,3,||13|2|,|2|31||,5,0,1,0,14578,8078,3146,0
15151,1,3,|2|13||,|2|31||,6,0,1,0,15624,9124,1046,0
15151,1,3,|23|1||,|2|31||,7,0,1,0,16290,9790,666,0
15151,1,3,|23||1|,|2|31||,8,0,1,0,17063,10563,773,0
15151,1,3,|2|3|1|,|2|31||,9,0,1,0,17797,11297,734,0
15151,1,3,|2|31||,|2|31||,10,0,1,3,18706,12206,909,1
15151,2,3,|2|1|3|,|3||12|,0,0,1,3,20379,0,0,0
