sub,trial,drawlimit,type,resp,corr,count,time,stimseq,evidencbias,totalpoints
1515,1,12,1,<lshift>,1,10,5253,112211211,1.33333,1775
1515,2,12,2,<rshift>,1,8,4254,2222222,2,2600
1515,3,12,2,<rshift>,1,4,1597,222,2,3525
1515,4,12,1,<lshift>,1,5,1460,1111,1,4425
1515,5,12,2,<rshift>,1,5,1708,2221,1.75,5325
1515,6,12,2,<rshift>,1,6,1961,12222,1.8,6200
1515,7,12,2,<rshift>,1,7,3058,122122,1.66667,7050
1515,8,12,1,<lshift>,1,8,3553,1221111,1.28571,7875
1515,9,12,2,<rshift>,1,6,2314,22222,2,8750
1515,10,12,2,<rshift>,1,6,3306,22121,1.6,9625
1515,11,12,1,<lshift>,1,5,2158,1112,1.25,10525
