subnum,trial,config,c1,c2,c3,c4,sampleprob,rainprob,prob2,time,rt,resp,outcome,correct
oua,1,C,0,0,1,1,0.087,0.1,0.1,11943,2478,<rshift>,0,1
oua,2,E,0,1,0,1,0.064,0.18,0.18,15442,435,<lshift>,0,0
oua,3,I,1,0,0,1,0.058,0.5,0.5,17384,393,<rshift>,0,1
oua,4,L,1,1,0,0,0.087,0.9,0.9,18788,370,<lshift>,1,1
oua,5,H,1,0,0,0,0.14,0.85,0.85,20167,498,<lshift>,0,0
oua,6,N,1,1,1,0,0.041,0.79,0.79,22170,736,<lshift>,1,1
oua,7,B,0,0,1,0,0.084,0.38,0.38,23914,792,<rshift>,0,1
oua,8,A,0,0,0,1,0.14,0.15,0.15,25713,1838,<rshift>,0,1
oua,9,J,1,0,1,0,0.064,0.82,0.82,28557,1036,<lshift>,1,1
oua,10,N,1,1,1,0,0.041,0.79,0.79,30601,1087,<lshift>,1,1
oua,11,G,0,1,1,1,0.041,0.21,0.21,32692,576,<rshift>,0,1
oua,12,M,1,1,0,1,0.032,0.57,0.57,34278,411,<lshift>,1,1
oua,13,L,1,1,0,0,0.087,0.9,0.9,35696,479,<rshift>,1,0
oua,14,H,1,0,0,0,0.14,0.85,0.85,37681,36,<rshift>,1,0
