subnum,type,time,trial,ltrs,target,size,frame,resp,corr,rt
321,1,20626,1,NJ,J,2,1,<rshift>,1,1100
321,1,21682,2,NJ,D,2,2,<lshift>,1,853
321,1,22489,3,NJ,N,2,1,<rshift>,1,605
321,1,23170,4,NJ,N,2,1,<rshift>,1,475
321,1,23833,5,NJ,J,2,1,<lshift>,0,459
321,1,25195,6,NJ,C,2,2,<lshift>,1,1160
321,1,26114,7,NJ,P,2,2,<lshift>,1,718
321,1,26861,8,NJ,J,2,1,<rshift>,1,545
321,1,27613,9,NJ,O,2,2,<lshift>,1,550
321,1,28541,10,NJ,P,2,2,<lshift>,1,725
321,1,29296,11,NJ,N,2,1,<rshift>,1,551
321,1,30092,12,NJ,O,2,2,<lshift>,1,593
321,1,30826,13,NJ,N,2,1,<rshift>,1,534
321,1,31863,14,NJ,D,2,2,<lshift>,1,834
321,1,32619,15,NJ,J,2,1,<rshift>,1,552
321,1,33267,16,NJ,J,2,1,<rshift>,1,446
321,1,33870,17,NJ,N,2,1,<rshift>,1,400
321,1,34556,18,NJ,C,2,2,<lshift>,1,482
321,1,35281,19,NJ,U,2,2,<lshift>,1,524
321,1,36084,20,NJ,P,2,2,<lshift>,1,599
321,1,36856,21,NJ,N,2,1,<rshift>,1,568
321,1,37525,22,NJ,N,2,1,<rshift>,1,467
321,1,38386,23,NJ,P,2,2,<lshift>,1,659
321,1,39139,24,NJ,N,2,1,<rshift>,1,551
321,1,39940,25,NJ,C,2,2,<lshift>,1,598
321,1,42802,26,TNJ,J,3,1,<rshift>,1,715
321,1,43603,27,TNJ,T,3,1,<rshift>,1,598
321,1,44400,28,TNJ,J,3,1,<rshift>,1,593
321,1,45060,29,TNJ,T,3,1,<rshift>,1,459
321,1,45787,30,TNJ,P,3,2,<lshift>,1,523
321,1,46665,31,TNJ,C,3,2,<lshift>,1,674
321,1,47340,32,TNJ,C,3,2,<lshift>,1,472
321,1,48087,33,TNJ,N,3,1,<rshift>,1,545
321,1,48797,34,TNJ,D,3,2,<lshift>,1,508
321,1,49430,35,TNJ,C,3,2,<lshift>,1,430
321,1,50141,36,TNJ,T,3,1,<rshift>,1,508
321,1,50846,37,TNJ,D,3,2,<lshift>,1,502
321,1,51460,38,TNJ,O,3,2,<lshift>,1,410
321,1,52043,39,TNJ,U,3,2,<lshift>,1,380
321,1,52776,40,TNJ,J,3,1,<rshift>,1,529
321,1,53593,41,TNJ,O,3,2,<lshift>,1,614
321,1,54240,42,TNJ,O,3,2,<lshift>,1,444
321,1,54962,43,TNJ,J,3,1,<rshift>,1,518
321,1,55802,44,TNJ,U,3,2,<lshift>,1,638
321,1,56565,45,TNJ,N,3,1,<rshift>,1,560
321,1,57504,46,TNJ,D,3,2,<lshift>,1,738
321,1,58279,47,TNJ,J,3,1,<rshift>,1,573
321,1,59110,48,TNJ,J,3,1,<rshift>,1,628
