subnum,block,trial,blocktrial,deadline,usetimer,l1,l2,x1,y1,x2,y2,toolong,resp,corr,rt,time0
33,1,1,1,10000,1,111,117,762,476,1161,489,1,<timeout>,0,10003,15584
33,1,2,2,10000,1,111,115,761,482,1158,484,1,<timeout>,0,10002,26095
33,1,3,3,10000,1,110,115,760,480,1159,487,1,<timeout>,0,10002,36608
33,1,1,1,10000,1,110,118,921,483,1001,483,0,<rshift>,1,264,8264
33,1,2,2,10000,1,117,119,922,480,1001,481,0,<lshift>,0,289,9034
33,1,3,3,10000,1,114,117,921,483,999,481,0,<lshift>,0,234,9834
33,1,4,4,10000,1,114,120,921,480,1002,483,0,<rshift>,1,225,10577
33,1,5,5,10000,1,114,118,918,482,999,482,0,<rshift>,1,287,11312
33,1,6,6,10000,1,112,111,922,489,998,479,0,<lshift>,1,158,12108
33,1,7,7,10000,1,113,120,920,479,1002,484,0,<rshift>,1,178,12774
33,1,8,8,10000,1,111,120,918,479,1000,485,0,<lshift>,0,165,13455
33,1,9,9,10000,1,113,111,918,481,1000,486,0,<lshift>,1,192,14124
33,1,10,10,10000,1,117,115,919,482,1001,481,0,<rshift>,0,161,14820
33,1,11,11,10000,1,114,112,921,485,1001,482,0,<rshift>,0,130,15493
33,1,12,12,10000,1,112,119,921,483,998,481,0,<lshift>,0,52,16132
33,1,13,13,10000,1,119,113,918,477,998,486,0,<rshift>,0,468,16693
33,1,14,14,10000,1,117,114,919,483,1001,481,0,<rshift>,0,425,17666
33,1,15,15,10000,1,117,116,918,484,1002,479,0,<lshift>,1,689,18595
33,2,16,1,2000,1,112,116,920,485,999,481,0,<rshift>,1,726,60077
33,2,17,2,2000,1,118,112,919,483,998,482,0,<lshift>,1,613,61313
33,2,18,3,2000,1,113,117,921,485,1002,479,0,<rshift>,1,788,62436
33,2,19,4,2000,1,115,117,919,479,1000,484,0,<rshift>,1,810,63735
33,2,20,5,2000,1,114,118,921,488,998,476,0,<rshift>,1,715,65057
33,2,21,6,2000,1,120,111,921,485,1001,479,0,<lshift>,1,685,66285
33,2,22,7,2000,1,113,116,922,485,998,480,0,<rshift>,1,676,67481
33,2,23,8,2000,1,117,114,920,478,1002,486,0,<rshift>,0,952,68661
33,2,24,9,2000,1,120,113,919,483,998,480,0,<lshift>,1,748,70126
33,2,25,10,2000,1,119,110,919,477,1002,488,0,<lshift>,1,903,71380
33,2,26,11,2000,1,112,114,920,481,1000,486,0,<rshift>,1,831,72792
33,2,27,12,2000,1,117,116,921,477,1001,486,0,<rshift>,0,695,74135
33,2,28,13,2000,1,116,117,922,485,999,478,0,<lshift>,0,988,75339
33,2,29,14,2000,1,120,111,919,481,1002,483,0,<lshift>,1,775,76833
33,2,30,15,2000,1,120,118,918,478,1000,483,0,<lshift>,1,1031,78116
33,3,31,1,1000,1,120,112,920,485,1000,479,0,<lshift>,1,457,105281
33,3,32,2,1000,1,110,118,921,486,999,480,0,<rshift>,1,575,106247
33,3,33,3,1000,1,111,116,922,485,998,481,0,<rshift>,1,579,107333
33,3,34,4,1000,1,117,116,920,485,999,478,0,<lshift>,1,636,108428
33,3,35,5,1000,1,119,117,920,485,999,476,0,<lshift>,1,578,109572
33,3,36,6,1000,1,118,112,919,479,1000,486,0,<lshift>,1,478,110657
33,3,37,7,1000,1,117,116,919,483,999,480,0,<lshift>,1,622,111647
33,3,38,8,1000,1,118,119,919,482,1000,479,0,<rshift>,1,518,112779
33,3,39,9,1000,1,119,118,921,479,1000,482,0,<rshift>,0,637,113809
33,3,40,10,1000,1,111,113,919,479,1001,488,0,<rshift>,1,509,114952
33,3,41,11,1000,1,114,116,919,487,1001,478,0,<rshift>,1,502,115971
33,3,42,12,1000,1,117,120,921,480,1001,481,0,<rshift>,1,544,116982
33,3,43,13,1000,1,110,115,919,482,999,485,0,<lshift>,0,537,118031
33,3,44,14,1000,1,120,117,919,482,1001,479,0,<rshift>,0,525,119078
