subNum,trial,stim,wordlength,abstime,type,response,time1,time2,correct,keystrokes,mistakes
1313131,1,FOOTBALL,8,9575,0,FOOTBALL,675,1357,1,8,0
1313131,2,PLEASURE,8,11481,0,PLEASURE,966,932,1,8,0
1313131,3,DNEIAIFY,8,14082,1,DNEIAIFY,641,1953,1,8,0
1313131,4,PERCEIVE,8,16092,0,PERCIEVE,744,1258,0,8,0
1313131,5,DNEIAIFY,8,18632,1,DNEIAIFY,720,1811,1,8,0
1313131,6,DNEIAIFY,8,21637,1,DNEIAIFY,737,2259,1,10,1
1313131,7,GRATEFUL,8,23531,0,GRATEFUL,708,1177,1,8,0
1313131,8,DNEIAIFY,8,25764,1,DNEIAIFY,639,1586,1,8,0
1313131,9,PAINTING,8,27667,0,PAINTING,667,1227,1,8,0
1313131,10,DNEIAIFY,8,30245,1,DNEIAIFY,973,1598,1,8,0
1313131,11,DNEIAIFY,8,32700,1,DNEIAIFY,765,1676,1,8,0
1313131,12,LIKEWISE,8,34686,0,LIKEWISE,858,1117,1,8,0
1313131,13,DNEIAIFY,8,38005,1,DNEIAIFY,625,2686,1,8,0
1313131,14,FRIGHTEN,8,41408,0,FRIGHTEN,597,2799,1,12,2
1313131,15,PROCLAIM,8,43649,0,PROCLAIM,734,1498,1,8,0
1313131,16,PEACEFUL,8,45954,0,PEACEFUL,611,1685,1,10,1
1313131,17,DNEIAIFY,8,48461,1,DNEIAIFY,686,1813,1,8,0
1313131,18,DNEIAIFY,8,51010,1,DNEIAIFY,748,1793,1,8,0
1313131,19,DNEIAIFY,8,53439,1,DNEIAIFY,575,1846,1,8,0
1313131,20,WEAKNESS,8,55216,0,WEAKNESS,759,1009,1,8,0
1313131,21,DNEIAIFY,8,57552,1,DNEIAIFY,601,1731,1,8,0
1313131,22,DNEIAIFY,8,59960,1,DNEIAIFY,557,1843,1,8,0
1313131,23,DNEIAIFY,8,62552,1,DNEIAIFY,715,1868,1,8,0
1313131,24,DNEIAIFY,8,64847,1,DNEIAIFY,531,1755,1,8,0
1313131,25,DNEIAIFY,8,67772,1,DNEIAIFY,780,2136,1,8,0
1313131,26,DNEIAIFY,8,70169,1,DNEIAIFY,478,1911,1,8,0
1313131,27,WRETCHED,8,72150,0,WRETCHED,873,1099,1,8,0
1313131,28,DNEIAIFY,8,76139,1,DNEIAIFY,1090,2888,1,12,2
1313131,29,MERCHANT,8,77590,0,MERCHANT,682,761,1,8,0
1313131,30,DNEIAIFY,8,79838,1,DNEIAIFY,626,1612,1,8,0
1313131,31,COMPLAIN,8,83400,0,COMPLAIN,673,2876,1,18,5
1313131,32,CONTRAST,8,85547,0,CONTRAST,644,1494,1,8,0
1313131,33,SPRINKLE,8,87598,0,SPRINKLE,874,1169,1,8,0
1313131,34,DNEIAIFY,8,90282,1,NDEIAIFY,698,1977,0,8,0
1313131,35,LUNCHEON,8,92286,0,LUNCHEON,760,1240,1,8,0
1313131,36,DNEIAIFY,8,94788,1,DNEIAIFY,691,1803,1,8,0
1313131,37,CHAIRMAN,8,96499,0,CHAIRMAN,732,974,1,8,0
1313131,38,BUSINESS,8,98667,0,BUSINESS,1068,1092,1,8,0
1313131,39,STRUGGLE,8,100251,0,STRUGGLE,642,933,1,8,0
1313131,40,LAUGHTER,8,102287,0,LAUGHTER,723,1305,1,8,0
1313131,41,DNEIAIFY,8,104552,1,DNEIAIFY,660,1596,1,8,0
1313131,42,MOUNTAIN,8,106108,0,MOUNTAIN,648,899,1,8,0
1313131,43,FUNCTION,8,108603,0,FUNCTION,470,2016,1,14,3
1313131,44,DNEIAIFY,8,110609,1,DNEIAIFY,617,1378,1,8,0
1313131,45,DNEIAIFY,8,112846,1,DNEIAIFY,617,1610,1,8,0
1313131,46,DNEIAIFY,8,114946,1,DNEIAIFY,561,1530,1,8,0
1313131,47,LIKEWISE,8,118192,0,LIKEWISE,702,2533,1,12,2
1313131,48,COMMENCE,8,121004,0,COMMENCE,1085,1716,1,10,1
1313131,49,DNEIAIFY,8,123354,1,DNEIAIFY,955,1384,1,8,0
1313131,50,DNEIAIFY,8,125721,1,DNEIAIFY,806,1552,1,8,0
1313131,51,ALTHOUGH,8,127551,0,ALTHOUGH,663,1155,1,8,0
1313131,52,SICKNESS,8,129628,0,SICKNESS,792,1273,1,8,0
1313131,53,DNEIAIFY,8,132206,1,DNEIAIFY,678,1890,1,8,0
1313131,54,DNEIAIFY,8,134679,1,DNEIAIFY,896,1567,1,8,0
1313131,55,DNEIAIFY,8,136813,1,DNEIAIFY,528,1600,1,8,0
1313131,56,SOMETIME,8,139318,0,SOMETIME,1035,1463,1,8,0
1313131,57,RESTLESS,8,141117,0,RESTLESS,707,1081,1,8,0
1313131,58,DNEIAIFY,8,143374,1,DNEIAIFY,724,1525,1,8,0
1313131,59,DNEIAIFY,8,145509,1,DNEIAIFY,542,1585,1,8,0
1313131,60,COMMERCE,8,147080,0,COMMERCE,600,961,1,8,0
1313131,61,DNEIAIFY,8,149595,1,DNEIAIFY,894,1612,1,8,0
1313131,62,CAMPAIGN,8,152710,0,CAMPAIGN,872,2234,1,12,2
1313131,63,DISGRACE,8,155012,0,DISGRACE,887,1408,1,8,0
1313131,64,NORTHERN,8,157013,0,NORTHERN,676,1316,1,8,0
1313131,65,DNEIAIFY,8,159007,1,DNEIAIFY,525,1459,1,8,0
1313131,66,SQUIRREL,8,161900,0,SQUIRREL,972,1911,1,10,1
1313131,67,DNEIAIFY,8,163853,1,DNEIAIFY,672,1277,1,8,0
1313131,68,CONDENSE,8,166029,0,CONDENSE,751,1417,1,8,0
1313131,69,BUSINESS,8,168366,0,BUSINESS,667,1656,1,8,0
1313131,70,DNEIAIFY,8,170886,1,DNEIAIFY,775,1736,1,8,0
1313131,71,CONGRESS,8,174980,0,CONGRESS,1253,2832,1,10,1
1313131,72,PROVINCE,8,177409,0,PROVINCE,1247,1172,1,8,0
1313131,73,MARRIAGE,8,178983,0,MARRIAGE,633,932,1,8,0
1313131,74,DNEIAIFY,8,182247,1,DNEIAIFY,1888,1367,1,8,0
1313131,75,FOREHEAD,8,185761,0,FOREHEAD,2130,1380,1,8,0
1313131,76,DNEIAIFY,8,187852,1,DNEIAIFY,614,1465,1,8,0
1313131,77,DNEIAIFY,8,190235,1,DNEIAIFY,1118,1258,1,8,0
1313131,78,DNEIAIFY,8,193272,1,DNEIAIFY,1168,1860,1,8,0
1313131,79,ACQUAINT,8,195308,0,ACQUAINT,675,1349,1,8,0
1313131,80,DNEIAIFY,8,198468,1,DNEIAIFY,1079,2073,1,8,0
1313131,81,SHEPHERD,8,201134,0,SHEPHERD,729,1926,1,10,1
1313131,82,GRACIOUS,8,203356,0,GRACIOUS,901,1313,1,8,0
1313131,83,MISCHIEF,8,205089,0,MISCHIEF,688,1033,1,8,0
1313131,84,DNEIAIFY,8,207936,1,DNEIAIFY,686,2148,1,8,0
1313131,85,DNEIAIFY,8,210590,1,DNEIAIFY,553,2093,1,8,0
1313131,86,DNEIAIFY,8,213697,1,DNEIAIFY,1157,1943,1,8,0
