subNum,trial,stim,wordlength,abstime,type,response,time1,time2,correct,keystrokes,mistakes
tnapicit,1,TNAPICAP,8,24237,1,TNAPICAP,1601,1767,1,8,0
tnapicit,2,TNAPICAP,8,26882,1,TNAPICAP,704,1933,1,8,0
tnapicit,3,TNAPICAP,8,29002,1,TNAPICAP,637,1476,1,8,0
tnapicit,4,LOVELY,6,30289,0,LOVELY,664,614,1,6,0
tnapicit,5,MAYBE,5,34205,0,MAYBE,709,3199,1,15,5
tnapicit,6,TNAPICAP,8,36215,1,TNAPICAP,675,1327,1,8,0
tnapicit,7,TNAPICAP,8,38872,1,TNAPICAP,737,1912,1,10,1
tnapicit,8,BELOW,5,40305,0,BELOW,744,678,1,5,0
tnapicit,9,KITTEN,6,42355,0,KITTEN,1050,996,1,6,0
tnapicit,10,TRIBUTE,7,43737,0,TRIBUTE,629,745,1,7,0
