subnum,block,type,trial,type,stim,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
1131,1,PRACTICE,-25,1,2,6646,1,588,0,NA,0,0,1
1131,1,PRACTICE,-24,1,3,8288,1,617,1,NA,0,0,1
1131,1,PRACTICE,-23,1,4,9974,2,384,1,NA,0,0,1
1131,1,PRACTICE,-22,1,1,11313,1,545,1,NA,0,0,1
1131,1,PRACTICE,-21,1,4,12743,2,381,1,NA,0,0,1
1131,1,PRACTICE,-20,1,2,14330,2,388,1,NA,0,0,1
1131,1,PRACTICE,-19,1,1,15862,1,409,1,NA,0,0,1
1131,1,PRACTICE,-18,1,3,17459,1,410,1,NA,0,0,1
1131,1,TEST,1,1,4,18735,2,387,1,NA,0,0,1
1131,1,TEST,2,1,3,20288,1,419,1,NA,0,0,1
1131,1,TEST,3,1,2,21560,2,444,1,NA,0,0,1
1131,1,TEST,4,1,1,23271,1,456,1,NA,0,0,1
1131,1,TEST,5,1,4,24541,2,415,1,NA,0,0,1
1131,1,TEST,6,1,2,26024,2,433,1,NA,0,0,1
1131,1,TEST,7,1,3,27708,1,391,1,NA,0,0,1
1131,1,TEST,8,1,1,29331,1,503,1,NA,0,0,1
1131,1,TEST,9,1,3,31015,1,502,1,NA,0,0,1
1131,1,TEST,10,1,1,32543,1,356,1,NA,0,0,1
1131,1,TEST,11,1,4,34180,2,320,1,NA,0,0,1
1131,1,TEST,12,1,2,35644,2,390,1,NA,0,0,1
1131,1,TEST,13,1,3,36946,1,428,1,NA,0,0,1
1131,1,TEST,14,1,2,38265,2,596,1,NA,0,0,1
1131,1,TEST,15,1,4,40084,2,445,1,NA,0,0,1
1131,1,TEST,16,1,1,41361,1,427,1,NA,0,0,1
1131,1,TEST,17,1,2,42682,2,386,1,NA,0,0,1
1131,1,TEST,18,1,3,43899,1,531,1,NA,0,0,1
1131,1,TEST,19,1,1,45680,1,399,1,NA,0,0,1
1131,1,TEST,20,1,4,47287,2,398,1,NA,0,0,1
1131,1,TEST,21,1,2,48825,2,299,1,NA,0,0,1
1131,1,TEST,22,1,3,50368,1,441,1,NA,0,0,1
1131,1,TEST,23,1,1,51729,1,562,1,NA,0,0,1
1131,1,TEST,24,1,4,53437,2,484,1,NA,0,0,1
1131,1,TEST,25,1,3,54914,1,653,1,NA,0,0,1
1131,2,PRACTICE,-25,2,3,71982,NA,0,0,0,488,1,1
1131,2,PRACTICE,-24,2,4,73585,NA,0,0,0,896,1,1
1131,2,PRACTICE,-23,2,2,75566,NA,0,0,9,382,1,1
1131,2,PRACTICE,-22,2,1,77031,NA,0,0,0,372,0,1
1131,2,PRACTICE,-21,2,4,78326,NA,0,0,0,464,1,1
1131,2,PRACTICE,-20,2,1,80073,NA,0,0,9,359,1,1
1131,2,PRACTICE,-19,2,2,81477,NA,0,0,9,381,1,1
1131,2,PRACTICE,-18,2,3,83034,NA,0,0,0,598,1,1
1131,2,TEST,1,2,3,84533,NA,0,0,0,395,1,1
1131,2,TEST,2,2,4,85802,NA,0,0,0,375,1,1
1131,2,TEST,3,2,1,87325,NA,0,0,9,374,1,1
1131,2,TEST,4,2,2,88698,NA,0,0,0,552,0,1
1131,2,TEST,5,2,4,90295,NA,0,0,9,319,0,1
1131,2,TEST,6,2,1,91845,NA,0,0,0,278,0,1
1131,2,TEST,7,2,3,93303,NA,0,0,9,320,0,1
1131,2,TEST,8,2,2,94755,NA,0,0,9,587,1,1
1131,2,TEST,9,2,3,96177,NA,0,0,0,382,1,1
1131,2,TEST,10,2,1,97514,NA,0,0,9,370,1,1
1131,2,TEST,11,2,2,99126,NA,0,0,9,300,1,1
1131,2,TEST,12,2,4,100311,NA,0,0,0,441,1,1
1131,2,TEST,13,2,2,101885,NA,0,0,0,267,0,1
1131,2,TEST,14,2,1,103336,NA,0,0,9,867,1,1
1131,2,TEST,15,2,3,105077,NA,0,0,0,467,1,1
