time_ms,energy,power,rmse,signs_per_sec,directions_per_sec
0,0.0230877,0.02839,0.0490906,7400,16100
10,0.0195218,0.0255193,0.0430183,6300,17100
20,0.00926985,0.0115797,0.0256711,8100,16500
30,0.00987036,0.0120183,0.0147088,4400,16000
40,0.00621726,0.00752111,0.00971836,4700,16200
50,0.0080572,0.010003,0.00841568,3200,15100
60,0.00710519,0.00866869,0.00741319,2800,14500
70,0.00557626,0.00704495,0.00541778,2400,15800
80,0.00526914,0.00640465,0.0050276,2400,14500
90,0.00800282,0.00971964,0.00453414,1800,13400
100,0.00416385,0.00510636,0.00440932,4100,14300
110,0.00709908,0.00855016,0.00543736,2300,13800
120,0.00817871,0.0096481,0.0117688,4800,13100
130,0.00722254,0.00979092,0.0235472,6100,16700
140,0.00767267,0.00896991,0.00690159,1900,14900
150,0.0178131,0.0252715,0.0661092,9200,15800
160,0.0195987,0.0257732,0.0568734,7500,16000
170,0.00908758,0.0108939,0.0203354,6600,17600
180,0.0084094,0.0102901,0.0163548,5500,17400
190,0.00521684,0.00635828,0.0112245,8100,16100
200,0.0059168,0.00770746,0.00860884,4500,16900
210,0.00449746,0.00559468,0.00644682,4100,16200
220,0.00619604,0.00735343,0.00568326,2400,15400
230,0.00730896,0.00923075,0.00465801,2200,14300
240,0.00794705,0.00947049,0.00436585,700,15200
250,0.00656794,0.00703996,0.00465761,400,16300
260,0.00655448,0.00833953,0.0042267,2600,13500
270,0.0077068,0.00892614,0.00399006,900,15300
280,0.00848569,0.0106518,0.0047885,1300,14600
290,0.0110848,0.0132403,0.00465374,1700,15800
300,0.00439412,0.00517979,0.00457269,2100,16300
310,0.0051762,0.00637671,0.0046443,3200,15800
320,0.00615609,0.00792297,0.0052732,4500,16100
330,0.00902127,0.0103146,0.00559904,900,14900
340,0.00679377,0.00837519,0.00423669,1800,14800
350,0.00475159,0.00620704,0.00452664,4000,15000
360,0.131209,0.163299,0.122239,3100,15100
370,0.0779935,0.102518,0.0625181,2800,14200
380,0.069386,0.0902252,0.0570305,3200,14000
390,0.0440166,0.0539464,0.0728755,4800,15700
400,0.0307087,0.0392197,0.0598626,7200,15000
410,0.0402753,0.0481462,0.0339416,2900,13000
420,0.416689,0.487439,0.0515696,700,5700
430,0.588781,0.682291,0.111408,900,1400
440,0.612811,0.705285,0.0563445,1200,1800
450,0.721928,0.789196,0.0999204,900,1200
460,0.718773,0.790686,0.105477,800,100
470,0.498503,0.565557,0.0817484,800,3700
480,0.299418,0.355032,0.121817,800,9400
490,0.231627,0.277614,0.550158,7100,14500
500,0.280812,0.333626,1.01035,15100,15500
510,0.265341,0.323138,0.989364,14900,15600
520,0.289036,0.357559,1.08281,14000,15600
530,0.274549,0.337163,1.08601,14300,16300
540,0.284864,0.341599,1.18033,16800,18000
550,0.206062,0.251634,0.872206,15400,17800
560,0.181789,0.222774,0.767508,16400,18400
570,0.0966359,0.119573,0.411183,16700,18500
580,0.0683103,0.0874433,0.275712,14500,17300
590,0.0602411,0.0745399,0.20982,10700,17100
600,0.0557699,0.0684367,0.153734,8800,17600
610,0.0684113,0.0834317,0.111953,5100,16900
620,0.157895,0.182222,0.0880871,700,16100
630,0.235677,0.264509,0.0761855,700,12900
640,0.235677,0.264509,0.0761855,700,12900
650,0.288373,0.325237,0.0726632,500,11600
660,0.264842,0.322402,0.0503169,1100,7200
670,0.244749,0.290685,0.0344323,900,6100
680,0.227351,0.269342,0.0286749,900,4500
690,0.168177,0.202948,0.0401367,800,8000
700,0.159931,0.19472,0.0319794,800,7400
710,0.109975,0.134816,0.0339711,700,9500
720,0.117097,0.140235,0.040038,600,12300
730,0.0859808,0.100788,0.113151,3400,14400
740,0.101985,0.129864,0.391698,13500,16400
750,0.0750861,0.094872,0.251305,11300,15900
760,0.0693269,0.0883059,0.263636,13800,16100
770,0.0823289,0.102911,0.300003,14000,15600
780,0.10234,0.129571,0.383802,14300,15100
790,0.112529,0.138723,0.408545,13400,15400
800,0.105458,0.13138,0.374189,12800,14700
810,0.0950208,0.121506,0.343779,13300,14100
820,0.107525,0.130883,0.358475,13300,14500
830,0.132957,0.164747,0.478939,14300,15700
840,0.133405,0.165124,0.483088,14700,15100
850,0.119805,0.149872,0.435825,13400,14400
860,0.123366,0.150555,0.437629,13700,14700
870,0.125837,0.156325,0.451671,14100,15000
880,0.0940195,0.119001,0.323062,12700,13900
890,0.0753705,0.0990668,0.269213,12000,15000
900,0.0539193,0.0706803,0.199389,12100,14400
910,0.0434633,0.0551563,0.130376,10800,13800
920,0.0260022,0.0326313,0.0761884,10600,13700
930,0.0184683,0.022515,0.0460677,9100,13100
940,0.0170018,0.0211549,0.0431843,7700,13500
950,0.0137509,0.0172996,0.0370058,10000,13000
960,0.0111413,0.0138616,0.0248696,7500,12500
970,0.0102479,0.0127303,0.0244795,8300,13100
980,0.00896107,0.011316,0.0170917,7100,14000
990,0.00840579,0.0104768,0.0147519,5300,14500
1000,0.00705844,0.00853963,0.0130122,4800,15000
1010,0.01205,0.0139959,0.0108849,1700,13500
1020,0.00586215,0.00725645,0.00786729,5100,13900
1030,0.0086896,0.0103562,0.00741867,3900,14200
1040,0.00783248,0.00950125,0.00704775,3100,13000
1050,0.00898909,0.010316,0.00676706,1000,13400
1060,0.0100963,0.0117414,0.0058634,800,14400
1070,0.0045259,0.0056887,0.00525771,4200,13100
1080,0.235468,0.348801,1.03406,10100,15900
1090,0.216833,0.295125,1.03063,11600,18800
