time_ms,energy,power,rmse,signs_per_sec,directions_per_sec
0,0.0132922,0.0157995,0.0238847,4200,16700
10,0.00821922,0.0114185,0.0109681,4700,15700
20,0.0104621,0.0131397,0.0133866,3500,16500
30,0.00996135,0.0118728,0.00697159,800,14800
40,0.0124846,0.0156334,0.0164712,2300,16000
50,0.0168984,0.0187321,0.00677911,700,14200
60,0.0120073,0.0141053,0.00548092,1900,14800
70,0.00972942,0.011549,0.00521825,900,15000
80,0.00905082,0.0110925,0.00482372,1200,14700
90,0.0102743,0.0120495,0.00490506,1500,15700
100,0.0112584,0.013756,0.00497192,2100,15000
110,0.00814625,0.00931832,0.00453095,1400,13700
120,0.0124524,0.014893,0.0185935,1900,15700
130,0.0154746,0.0190927,0.00838901,3500,17200
140,0.00974842,0.011448,0.00731595,2600,15800
150,0.00640037,0.00735857,0.00514889,1000,15800
160,0.0117378,0.0143968,0.00454715,900,15200
170,0.0217404,0.0293437,0.0612937,3300,15100
180,0.0149002,0.0182286,0.0419538,7700,17400
190,0.0076391,0.00914699,0.0193818,8400,17200
200,0.00637471,0.00768387,0.0206508,11400,17800
210,0.00614943,0.00731415,0.0147697,6600,17000
220,0.00703555,0.00837445,0.0115966,3300,16700
230,0.0182343,0.020317,0.00695911,300,16600
240,0.0306011,0.032272,0.00677001,100,14500
250,0.0144248,0.0190303,0.00537301,1200,14300
260,0.0115479,0.0137973,0.004717,1100,12500
270,0.0082077,0.0109088,0.00483909,2500,12900
280,0.0125949,0.015782,0.00607288,1900,13100
290,0.00935627,0.0116032,0.00606507,1200,15400
300,0.0120987,0.0143248,0.0152647,2600,15200
310,0.0116194,0.0136701,0.0140412,3400,14200
320,0.0282946,0.0393067,0.110872,3700,18100
330,0.0294077,0.0402127,0.115547,5300,17100
340,0.0204726,0.0246339,0.0476621,6500,16500
350,0.0276226,0.0371387,0.0219005,3100,13700
360,0.0200789,0.0249515,0.0196389,3300,13400
370,0.0314746,0.0396793,0.025236,3500,10400
380,0.0424695,0.0492298,0.0245547,2000,12000
390,0.031878,0.0394292,0.025074,3300,11700
400,0.0315287,0.0395552,0.0267164,3600,10800
410,0.0428323,0.052954,0.0352891,3100,10600
420,0.136185,0.203404,0.0346194,1400,9800
430,0.329737,0.404727,0.0688678,1000,7300
440,0.357299,0.417338,0.0756357,1300,5000
450,0.376925,0.466729,0.0785758,1400,4600
460,0.351889,0.427438,0.0996451,1200,8400
470,0.304896,0.395947,0.106784,2000,9000
480,0.357777,0.4404,0.103507,1000,9100
490,0.361765,0.433821,0.119445,700,10300
500,0.346755,0.440532,0.146908,1000,7700
510,0.277728,0.358545,0.0805671,1500,7900
520,0.268047,0.323998,0.0923376,700,8100
530,0.268047,0.323998,0.0923376,700,8100
540,0.287016,0.335819,0.0227219,800,4800
550,0.353125,0.406389,0.0233075,500,3100
560,0.318659,0.367566,0.017122,600,2800
570,0.320701,0.368667,0.0433206,600,2000
580,0.286564,0.34554,0.0294622,800,3600
590,0.269003,0.325308,0.0674495,1000,4600
600,0.272747,0.323486,0.04492,900,7200
610,0.242774,0.296739,0.0485943,1000,7300
620,0.212283,0.238348,0.0299119,500,5500
630,0.232954,0.26805,0.0198074,500,2300
640,0.15533,0.178231,0.0223389,900,4500
650,0.152384,0.174834,0.0152042,500,4200
660,0.136592,0.152603,0.0268661,500,4700
670,0.136713,0.156726,0.0240376,500,6900
680,0.114062,0.138193,0.0291075,500,6400
690,0.130606,0.153526,0.0274991,400,9400
700,0.138042,0.156849,0.0354539,500,10100
710,0.118628,0.132565,0.0261153,400,10500
720,0.0937091,0.105616,0.0411058,400,13500
730,0.0916043,0.103072,0.0275539,600,12600
740,0.0827497,0.0917445,0.0237745,500,11400
750,0.0893621,0.105737,0.0223696,800,13400
760,0.0553385,0.070446,0.0174074,1700,13600
