time_ms,energy,power,rmse,signs_per_sec,directions_per_sec
0,0.0098594,0.0116221,0.00646895,1300,16500
10,0.00606842,0.00727219,0.00469452,2200,15200
20,0.00735848,0.00886111,0.00503814,1000,15900
30,0.00868835,0.0103531,0.00421755,900,13800
40,0.00946877,0.0113272,0.00453629,1200,14100
50,0.0158904,0.025507,0.083231,6600,18000
60,0.0113589,0.014092,0.0357778,6200,18000
70,0.00518355,0.00662468,0.0169861,8800,18500
80,0.0086982,0.0105287,0.00976058,3500,17700
90,0.00730743,0.00947889,0.00805072,3300,17800
100,0.00532795,0.00684752,0.00634611,3300,16000
110,0.00465962,0.00594675,0.00725021,3600,16500
120,0.00516704,0.00613096,0.00562535,2300,16000
130,0.00531616,0.00623478,0.00397602,1900,16000
140,0.00489155,0.00638561,0.00458952,2600,14900
150,0.00701488,0.00807184,0.0041842,1000,15000
160,0.00454795,0.00560938,0.00448918,2300,14400
170,0.00728788,0.00847752,0.00521745,900,16500
180,0.00715845,0.00814546,0.00532292,1200,17300
190,0.00798187,0.00950024,0.0111016,3600,17600
200,0.00444461,0.00551186,0.00599099,3900,15500
210,0.0104642,0.01203,0.00525393,1200,16100
220,0.00808189,0.0093349,0.00508764,1800,14700
230,0.00676686,0.00817259,0.00483406,2000,13100
240,0.00593664,0.00696635,0.00474001,2200,14600
250,0.0095606,0.0105307,0.00528137,100,16800
260,0.00978574,0.0109873,0.004745,100,16500
270,0.00803264,0.00969589,0.00337804,1700,14500
280,0.00301403,0.00366603,0.00429169,2500,15200
290,0.00697008,0.00849049,0.00471583,2000,16200
300,0.00816692,0.0095761,0.00378212,1100,14200
310,0.00386186,0.00468036,0.00378416,2800,13600
320,0.00452354,0.00553839,0.00538316,3900,15200
330,0.00518716,0.00637734,0.00431427,2900,14400
340,0.00733004,0.00842707,0.00378194,800,15700
350,0.00953355,0.0109213,0.00418841,700,14400
360,0.00636236,0.00763107,0.0043407,2300,15500
370,0.00431366,0.00569012,0.00477808,3400,15900
380,0.00994707,0.0114312,0.00478718,1500,15500
390,0.0111533,0.0132417,0.00473211,1300,16500
400,0.00740273,0.00847092,0.00353507,700,14300
410,0.00745114,0.00854363,0.00419869,1500,14800
420,0.00703056,0.00801608,0.00502785,1500,16800
430,0.00703056,0.00801608,0.00502785,1500,16800
440,0.00688518,0.00827693,0.00418054,1800,14300
450,0.00631631,0.0073007,0.00408946,1600,14600
460,0.00719979,0.00888303,0.00456339,1700,16600
470,0.00362049,0.00478098,0.00473229,4900,15900
480,0.0037667,0.00460464,0.00370476,3200,13900
