subnum,trial,trial_type,correct1,correct2,response1,response2,num_correct,both_correct,start_time,complete_time,rt,timestamp
1a,p1,practice,1,3,2,3,1,0,5348,7050,1702,Tue Nov  4 14:40:01 2025
1a,p2,practice,2,3,1,3,1,0,10321,11727,1406,Tue Nov  4 14:40:05 2025
1a,p3,practice,1,4,2,3,0,0,12764,14100,1336,Tue Nov  4 14:40:08 2025
1a,p4,practice,1,3,3,2,1,0,15112,16053,941,Tue Nov  4 14:40:10 2025
1a,p4,practice,1,3,1,2,1,0,17293,26637,9344,Tue Nov  4 14:40:20 2025
1a,t1,test,1,3,1,3,2,1,26650,29022,2372,Tue Nov  4 14:40:23 2025
1a,t2,test,1,4,2,3,0,0,29035,30446,1411,Tue Nov  4 14:40:24 2025
1a,t3,test,2,4,1,2,1,0,30461,31801,1340,Tue Nov  4 14:40:25 2025
1a,t4,test,2,3,3,2,2,1,31830,33343,1513,Tue Nov  4 14:40:27 2025
1a,t5,test,1,3,4,3,1,0,33356,34842,1486,Tue Nov  4 14:40:28 2025
1a,t6,test,1,4,2,1,1,0,34857,36264,1407,Tue Nov  4 14:40:30 2025
1a,t7,test,2,4,2,3,1,0,36276,37639,1363,Tue Nov  4 14:40:31 2025
1a,t8,test,2,3,1,2,1,0,37669,39095,1426,Tue Nov  4 14:40:33 2025
1a,t9,test,2,4,1,2,1,0,39102,40593,1491,Tue Nov  4 14:40:34 2025
1a,t10,test,1,4,2,1,1,0,40624,42336,1712,Tue Nov  4 14:40:36 2025
1a,t11,test,3,4,1,2,0,0,59697,61881,2184,Tue Nov  4 14:40:55 2025
1a,t12,test,2,3,2,3,2,1,61893,63350,1457,Tue Nov  4 14:40:57 2025
1a,t13,test,1,2,2,1,2,1,63363,64880,1517,Tue Nov  4 14:40:58 2025
1a,t14,test,2,4,1,2,1,0,64887,66099,1212,Tue Nov  4 14:41:00 2025
1a,t15,test,2,3,3,2,2,1,66106,67303,1197,Tue Nov  4 14:41:01 2025
1a,t16,test,1,4,2,3,0,0,67324,68446,1122,Tue Nov  4 14:41:02 2025
1a,t17,test,2,4,2,1,1,0,68456,69599,1143,Tue Nov  4 14:41:03 2025
1a,t18,test,2,3,2,3,2,1,69611,71164,1553,Tue Nov  4 14:41:05 2025
1a,t19,test,1,3,2,3,1,0,71193,72389,1196,Tue Nov  4 14:41:06 2025
1a,t20,test,1,4,2,1,1,0,72401,73675,1274,Tue Nov  4 14:41:07 2025
