subnum,trial,trial_type,correct1,correct2,response1,response2,num_correct,both_correct,start_time,complete_time,rt,timestamp
616161,p1,practice,1,3,2,1,1,0,3227,4410,1183,Thu Nov  6 09:52:43 2025
616161,p2,practice,2,3,2,1,1,0,6685,8102,1417,Thu Nov  6 09:52:46 2025
616161,p3,practice,1,4,2,1,1,0,9128,10189,1061,Thu Nov  6 09:52:49 2025
616161,p4,practice,1,3,2,3,1,0,11211,12204,993,Thu Nov  6 09:52:51 2025
616161,p4,practice,1,3,2,1,1,0,14263,21319,7056,Thu Nov  6 09:53:00 2025
616161,t1,test,1,3,3,2,1,0,21330,26708,5378,Thu Nov  6 09:53:05 2025
616161,t2,test,1,4,3,2,0,0,26737,29051,2314,Thu Nov  6 09:53:07 2025
616161,t3,test,2,4,2,1,1,0,29063,30628,1565,Thu Nov  6 09:53:09 2025
616161,t4,test,2,3,1,2,1,0,30661,32134,1473,Thu Nov  6 09:53:10 2025
616161,t5,test,1,3,3,2,1,0,32146,33769,1623,Thu Nov  6 09:53:12 2025
616161,t6,test,1,4,4,3,1,0,33780,35613,1833,Thu Nov  6 09:53:14 2025
616161,t7,test,2,4,2,1,1,0,35645,38048,2403,Thu Nov  6 09:53:16 2025
616161,t8,test,2,3,2,3,2,1,38061,75937,37876,Thu Nov  6 09:53:54 2025
616161,t9,test,2,4,2,3,1,0,75947,96668,20721,Thu Nov  6 09:54:15 2025
616161,t10,test,1,4,2,1,1,0,96678,198144,101466,Thu Nov  6 09:55:57 2025
616161,t11,test,3,4,2,3,1,0,200371,203225,2854,Thu Nov  6 09:56:02 2025
616161,t12,test,2,3,1,2,1,0,203234,434600,231366,Thu Nov  6 09:59:53 2025
