subid,abstime,trial,edits,deletes,edges,drawtime,standard,drawndiagram,overlap,missing,extra,total,completelycorrect,errorpct
aaaa,10332,1,3,0,3,4397,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|76;336|324;325,23,61,1,108,0,57.41
aaaa,21326,2,5,0,4,9782,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90|124;304|304;350,13,56,2,84,0,69.05
aaaa,27290,3,1,0,2,4543,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|64;67,6,35,0,47,0,74.47
aaaa,33462,4,1,0,2,3566,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,224;286|224;164,4,65,0,73,0,89.04
aaaa,37528,5,1,0,2,1970,264;64|64;77|77;277|277;264|268;68|272;72|64;232|184;190|73;157,264;64|64;77,23,61,0,107,0,57.01
aaaa,41770,6,1,0,2,2540,48;49|49;85|85;84|84;48|49;109|109;145|145;85|130;109|109;91|91;112|112;130|145;188|184;84|228;184|188;228|170;130|170;188|112;192|192;228|149;170|149;109,48;49|49;85,5,50,0,60,0,83.33
aaaa,47582,7,1,0,2,4677,124;106|106;88|88;110|110;128|128;106|128;168|168;106|168;186|186;124|124;224|224;246|246;186|110;210|210;246,124;106|106;88,4,31,0,39,0,79.49
aaaa,61179,8,1,0,2,12102,125;169|249;169|249;205|205;125|249;213|213;173|173;191|191;151|151;169|173;172|172;171|125;89|89;110|110;128|151;128|110;150,125;169|249;169,8,34,0,50,0,68
aaaa,69821,9,1,0,2,6124,174;130|174;210|210;166|166;130|210;290|290;246|246;166|272;290|272;232|232;214|214;174,174;130|174;210,8,28,0,44,0,63.64
aaaa,74291,10,1,0,2,2637,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;209|167;247|247;291|291;271|271;249|249;209|153;213|213;249|213;235|235;271|235;255|255;291,131;153|131;167,6,44,0,56,0,78.57

