subid,abstime,trial,edits,deletes,edges,drawtime,standard,drawndiagram
Kit8575,180308,1,44,1,16,114373,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|76;336|106;66|66;146|146;106|146;156|146;226|226;236|236;226|306;226|306;326|336;333|333;326|228;76|190;70|332;276
Kit8575,299700,2,47,2,19,115740,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90|264;124|90;133|133;273|273;264|264;304|304;313|313;273|326;331|326;367|367;366|366;304|370;331|370;371|371;313|267;127|130;270|127;130
Kit8575,428140,3,33,0,16,126654,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|64;67|188;124|150;67|150;153|153;74|74;76|76;136|136;215|215;335|335;333|333;233|233;211|211;310|310;308|308;188
Kit8575,559682,4,37,0,19,123846,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,224;286|224;164|164;106|106;114|114;294|294;286|234;226|166;226|166;174|114;116|116;296|296;294|296;259|239;259|239;257|157;257|157;179|179;159|159;116
Kit8575,675637,5,25,1,9,113510,264;64|64;77|77;277|277;264|268;68|272;72|64;232|184;190|73;157,264;64|64;77|277;264|277;77|272;72|73;157|68;268|184;190|64;232
Kit8575,752802,6,39,0,21,74793,48;49|49;85|85;84|84;48|49;109|109;145|145;85|130;109|109;91|91;112|112;130|145;188|184;84|228;184|188;228|170;130|170;188|112;192|192;228|149;170|149;109,48;49|49;85|48;84|85;84|84;184|184;228|228;188|188;145|145;85|188;170|170;130|130;112|112;91|91;109|109;130|109;149|149;170|109;49|112;192|228;192|145;109
Kit8575,798106,7,25,0,14,43939,124;106|106;88|88;110|110;128|128;106|128;168|168;106|168;186|186;124|124;224|224;246|246;186|110;210|210;246,124;106|106;88|124;224|224;246|246;186|186;124|186;168|168;106|106;128|128;168|88;110|110;128|110;210|210;246
Kit8575,882144,8,29,0,16,82361,125;169|249;169|249;205|205;125|249;213|213;173|173;191|191;151|151;169|173;172|172;171|125;89|89;110|110;128|151;128|110;150,125;169|249;169|125;89|89;110|110;128|128;151|151;169|151;191|191;173|173;213|213;249|173;172|172;171|110;150|125;205|205;249
Kit8575,1037835,9,59,6,11,148143,174;130|174;210|210;166|166;130|210;290|290;246|246;166|272;290|272;232|232;214|214;174,174;130|174;210|130;166|166;210|174;214|166;266|266;310|210;310|214;232|232;292|292;310
Kit8575,1176687,10,43,0,21,137256,131;153|131;167|167;211|211;193|193;171|171;153|211;231|231;209|167;247|247;291|291;271|271;249|249;209|153;213|213;249|213;235|235;271|235;255|255;291,131;153|131;167|153;171|171;193|193;211|211;167|167;247|227;247|213;193|211;231|231;213|231;209|209;249|249;271|271;291|291;247|153;193|291;255|271;235|235;255|235;213
PAT0069,115553,1,34,2,13,95332,66;76|76;336|336;326|326;66|70;190|228;76|226;236|256;332|146;156,66;76|76;336|66;76|76;66|66;76|76;66|66;326|326;336|332;256|236;226|228;76|190;70|146;156
PAT0069,197573,2,31,0,17,79593,124;87|87;90|90;133|133;273|124;264|264;273|267;127|127;130|130;270|273;313|313;304|304;264|304;366|313;371|371;370|370;331|331;326|326;367|367;366,124;87|87;90|124;304|304;366|366;367|367;326|326;331|331;370|370;371|371;313|313;133|133;90|130;127|304;313|264;273|267;127|130;270
PAT0069,274963,3,29,0,16,75217,124;64|64;67|67;150|150;153|153;74|74;76|76;136|124;188|188;308|136;215|215;335|335;333|333;233|233;211|211;310|308;310,124;64|64;67|67;150|150;153|153;74|74;76|76;136|136;215|215;335|335;333|333;233|233;211|211;310|310;308|308;188|188;124
PAT0069,427103,4,30,1,14,150090,224;286|224;164|164;106|106;113|113;293|293;286|233;226|226;166|166;173|295;293|295;115|115;113|156;256|238;256|178;156|178;158|158;115|238;258|258;295,224;286|224;164|295;286|295;259|259;239|239;257|257;157|157;179|179;159|159;115|115;106|106;164|115;295|293;113
PAT0069,497429,5,17,0,9,66417,264;64|64;77|77;277|277;264|268;68|272;72|64;232|184;190|73;157,264;64|64;77|277;77|277;264|68;268|72;272|64;232|190;184|73;157
PAT0069,566853,6,39,0,21,65605,48;49|49;85|85;84|84;48|49;109|109;145|145;85|130;109|109;91|91;112|112;130|145;188|184;84|228;184|188;228|170;130|170;188|112;192|192;228|149;170|149;109,48;49|49;85|48;84|84;85|85;145|145;109|109;49|84;184|145;188|188;228|228;184|228;192|192;112|112;130|130;170|170;188|109;130|109;91|91;112|109;149|149;170
