Age band,User code,Iteration,Language,Completed,Completed Timestamp,Processed Timestamp,Block,Trial,Trial result,Response,Response time [ms]
C2,10024217,1,en,t,4915,4915,PRACTICE,HA_0,HA,HA,34392
C2,10024217,1,en,t,4915,4915,PRACTICE,SA_0,SA,SA,3496
C2,10024217,1,en,t,4915,4915,PRACTICE,AN_0,AN,AN,3716
C2,10024217,1,en,t,4915,4915,PRACTICE,DI_0,AF,AF,5621
C2,10024217,1,en,t,4915,4915,PRACTICE,NE_0,NE,NE,5928
C2,10024217,1,en,t,4915,4915,MAIN,SU_5,SU,SU,4920
C2,10024217,1,en,t,4915,4915,MAIN,AN_8,AN,AN,3833
C2,10024217,1,en,t,4915,4915,MAIN,AN_5,AN,AN,4679
C2,10024217,1,en,t,4915,4915,MAIN,AN_2,NE,NE,12585
C2,10024217,1,en,t,4915,4915,MAIN,SA_3,NE,NE,4557
C2,10024217,1,en,t,4915,4915,MAIN,DI_2,DI,DI,3765
C2,10024217,1,en,t,4915,4915,MAIN,HA_6,HA,HA,60234
C2,10024217,1,en,t,4915,4915,MAIN,HA_8,HA,HA,3093
C2,10024217,1,en,t,4915,4915,MAIN,HA_7,HA,HA,2248
C2,10024217,1,en,t,4915,4915,MAIN,NE_10,NE,NE,2522
C2,10024217,1,en,t,4915,4915,MAIN,DI_4,DI,DI,3229
C2,10024217,1,en,t,4915,4915,MAIN,NE_5,NE,NE,2418
C2,10024217,1,en,t,4915,4915,MAIN,SA_1,DI,DI,5426
C2,10024217,1,en,t,4915,4915,MAIN,AF_8,SU,SU,3299
C2,10024217,1,en,t,4915,4915,MAIN,AN_4,AN,AN,4287
C2,10024217,1,en,t,4915,4915,MAIN,HA_2,HA,HA,1785
C2,10024217,1,en,t,4915,4915,MAIN,NE_9,NE,NE,1982
C2,10024217,1,en,t,4915,4915,MAIN,DI_9,DI,DI,2598
C2,10024217,1,en,t,4915,4915,MAIN,SA_9,DI,DI,2500
C2,10024217,1,en,t,4915,4915,MAIN,DI_7,DI,DI,2705
C2,10024217,1,en,t,4915,4915,MAIN,SA_2,NE,NE,8330
C2,10024217,1,en,t,4915,4915,MAIN,NE_6,AN,AN,3815
C2,10024217,1,en,t,4915,4915,MAIN,AF_1,AF,AF,11276
C2,10024217,1,en,t,4915,4915,MAIN,SU_2,HA,HA,2058
C2,10024217,1,en,t,4915,4915,MAIN,HA_5,HA,HA,1753
C2,10024217,1,en,t,4915,4915,MAIN,AF_7,SU,SU,6500
C2,10024217,1,en,t,4915,4915,MAIN,SA_4,SA,SA,1871
C2,10024217,1,en,t,4915,4915,MAIN,NE_3,NE,NE,2108
C2,10024217,1,en,t,4915,4915,MAIN,AF_10,SU,SU,4324
C2,10024217,1,en,t,4915,4915,MAIN,NE_2,NE,NE,3072
C2,10024217,1,en,t,4915,4915,MAIN,NE_1,NE,NE,2300
C2,10024217,1,en,t,4915,4915,MAIN,DI_3,DI,DI,2738
C2,10024217,1,en,t,4915,4915,MAIN,NE_8,NE,NE,2277
C2,10024217,1,en,t,4915,4915,MAIN,HA_10,HA,HA,3372
C2,10024217,1,en,t,4915,4915,MAIN,NE_4,NE,NE,2638
C2,10024217,1,en,t,4915,4915,MAIN,SA_6,SA,SA,2321
C2,10024217,1,en,t,4915,4915,MAIN,DI_1,DI,DI,4716
C2,10024217,1,en,t,4915,4915,MAIN,DI_6,DI,DI,2216
C2,10024217,1,en,t,4915,4915,MAIN,AF_2,AF,AF,10729
C2,10024217,1,en,t,4915,4915,MAIN,SU_8,SU,SU,2424
C2,10024217,1,en,t,4915,4915,MAIN,AF_4,DI,DI,15148
C2,10024217,1,en,t,4915,4915,MAIN,SA_8,DI,DI,4175
C2,10024217,1,en,t,4915,4915,MAIN,SU_7,HA,HA,1575
C2,10024217,1,en,t,4915,4915,MAIN,AN_9,AN,AN,2558
C2,10024217,1,en,t,4915,4915,MAIN,AN_3,NE,NE,2310
C2,10024217,1,en,t,4915,4915,MAIN,HA_3,HA,HA,2077
C2,10024217,1,en,t,4915,4915,MAIN,AF_3,SU,SU,4570
C2,10024217,1,en,t,4915,4915,MAIN,AN_10,NE,NE,4146
C2,10024217,1,en,t,4915,4915,MAIN,DI_5,DI,DI,2661
C2,10024217,1,en,t,4915,4915,MAIN,SU_4,SU,SU,8290
C2,10024217,1,en,t,4915,4915,MAIN,SU_1,SU,SU,2592
C2,10024217,1,en,t,4915,4915,MAIN,AN_6,AN,AN,8510
C2,10024217,1,en,t,4915,4915,MAIN,DI_8,DI,DI,1733
C2,10024217,1,en,t,4915,4915,MAIN,HA_4,HA,HA,1794
C2,10024217,1,en,t,4915,4915,MAIN,SA_5,NE,NE,1639
C2,10024217,1,en,t,4915,4915,MAIN,AF_6,AF,AF,6876
C2,10024217,1,en,t,4915,4915,MAIN,HA_9,HA,HA,1640
C2,10024217,1,en,t,4915,4915,MAIN,SU_9,SU,SU,3411
C2,10024217,1,en,t,4915,4915,MAIN,AN_7,AN,AN,4048
C2,10024217,1,en,t,4915,4915,MAIN,SA_10,NE,NE,5002
C2,10024217,1,en,t,4915,4915,MAIN,DI_10,DI,DI,2982
C2,10024217,1,en,t,4915,4915,MAIN,AN_1,AN,AN,15910
C2,10024217,1,en,t,4915,4915,MAIN,SU_3,SU,SU,6315
C2,10024217,1,en,t,4915,4915,MAIN,AF_9,NE,NE,37442
C2,10024217,1,en,t,4915,4915,MAIN,AF_5,SU,SU,2027
C2,10024217,1,en,t,4915,4915,MAIN,SU_10,HA,HA,1665
C2,10024217,1,en,t,4915,4915,MAIN,SA_7,NE,NE,4066
C2,10024217,1,en,t,4915,4915,MAIN,NE_7,NE,NE,1788
C2,10024217,1,en,t,4915,4915,MAIN,SU_6,HA,HA,1881
C2,10024217,1,en,t,4915,4915,MAIN,HA_1,HA,HA,2034
C1,10034555,1,te,t,4042,4042,PRACTICE,AN_0,AN,AN,11741
C1,10034555,1,te,t,4042,4042,PRACTICE,NE_0,SA,SA,5234
C1,10034555,1,te,t,4042,4042,PRACTICE,DI_0,AF,AF,11430
C1,10034555,1,te,t,4042,4042,PRACTICE,SA_0,SA,SA,3422
C1,10034555,1,te,t,4042,4042,PRACTICE,HA_0,HA,HA,3617
C1,10034555,1,te,t,4042,4042,MAIN,HA_10,HA,HA,2815
C1,10034555,1,te,t,4042,4042,MAIN,NE_8,NE,NE,11678
C1,10034555,1,te,t,4042,4042,MAIN,AF_5,SU,SU,3528
C1,10034555,1,te,t,4042,4042,MAIN,NE_1,NE,NE,4246
C1,10034555,1,te,t,4042,4042,MAIN,HA_8,HA,HA,2313
C1,10034555,1,te,t,4042,4042,MAIN,AN_5,AN,AN,4036
C1,10034555,1,te,t,4042,4042,MAIN,AN_9,AN,AN,1771
C1,10034555,1,te,t,4042,4042,MAIN,NE_7,NE,NE,2225
C1,10034555,1,te,t,4042,4042,MAIN,DI_5,AF,AF,3246
C1,10034555,1,te,t,4042,4042,MAIN,AF_6,AF,AF,7478
C1,10034555,1,te,t,4042,4042,MAIN,NE_6,NE,NE,7179
C1,10034555,1,te,t,4042,4042,MAIN,HA_1,HA,HA,1619
C1,10034555,1,te,t,4042,4042,MAIN,SU_9,SU,SU,2856
C1,10034555,1,te,t,4042,4042,MAIN,SA_10,NE,NE,5062
C1,10034555,1,te,t,4042,4042,MAIN,SA_6,AF,AF,8811
C1,10034555,1,te,t,4042,4042,MAIN,SA_5,NE,NE,3744
C1,10034555,1,te,t,4042,4042,MAIN,SA_1,AF,AF,7222
C1,10034555,1,te,t,4042,4042,MAIN,DI_10,NE,NE,7455
C1,10034555,1,te,t,4042,4042,MAIN,AF_2,AN,AN,6537
C1,10034555,1,te,t,4042,4042,MAIN,HA_5,HA,HA,2067
C1,10034555,1,te,t,4042,4042,MAIN,SU_3,HA,HA,6641
C1,10034555,1,te,t,4042,4042,MAIN,SU_4,SU,SU,4681
C1,10034555,1,te,t,4042,4042,MAIN,SU_10,HA,HA,1763
C1,10034555,1,te,t,4042,4042,MAIN,AF_7,NE,NE,4973
C1,10034555,1,te,t,4042,4042,MAIN,AF_3,NE,NE,2247
C1,10034555,1,te,t,4042,4042,MAIN,SA_3,AN,AN,3845
C1,10034555,1,te,t,4042,4042,MAIN,AN_1,SA,SA,3316
C1,10034555,1,te,t,4042,4042,MAIN,HA_7,HA,HA,1758
C1,10034555,1,te,t,4042,4042,MAIN,NE_3,NE,NE,2764
C1,10034555,1,te,t,4042,4042,MAIN,AN_3,DI,DI,2740
C1,10034555,1,te,t,4042,4042,MAIN,AN_8,AN,AN,4993
C1,10034555,1,te,t,4042,4042,MAIN,DI_6,AF,AF,7203
C1,10034555,1,te,t,4042,4042,MAIN,NE_9,NE,NE,4421
C1,10034555,1,te,t,4042,4042,MAIN,DI_3,SA,SA,6384
C1,10034555,1,te,t,4042,4042,MAIN,AN_10,NE,NE,2662
C1,10034555,1,te,t,4042,4042,MAIN,SA_4,SA,SA,5193
C1,10034555,1,te,t,4042,4042,MAIN,NE_10,NE,NE,3997
C1,10034555,1,te,t,4042,4042,MAIN,SA_7,NE,NE,3801
C1,10034555,1,te,t,4042,4042,MAIN,AF_10,SU,SU,2485
C1,10034555,1,te,t,4042,4042,MAIN,SU_7,HA,HA,2032
C1,10034555,1,te,t,4042,4042,MAIN,SU_1,HA,HA,2649
C1,10034555,1,te,t,4042,4042,MAIN,AN_7,AN,AN,4039
C1,10034555,1,te,t,4042,4042,MAIN,DI_9,NE,NE,4078
C1,10034555,1,te,t,4042,4042,MAIN,SU_8,HA,HA,2256
C1,10034555,1,te,t,4042,4042,MAIN,DI_4,SA,SA,3981
C1,10034555,1,te,t,4042,4042,MAIN,AF_1,AF,AF,8537
C1,10034555,1,te,t,4042,4042,MAIN,SU_6,HA,HA,2143
C1,10034555,1,te,t,4042,4042,MAIN,NE_5,NE,NE,1836
C1,10034555,1,te,t,4042,4042,MAIN,HA_3,HA,HA,1514
C1,10034555,1,te,t,4042,4042,MAIN,AN_6,SA,SA,5844
C1,10034555,1,te,t,4042,4042,MAIN,DI_8,DI,DI,4267
C1,10034555,1,te,t,4042,4042,MAIN,HA_4,HA,HA,1928
C1,10034555,1,te,t,4042,4042,MAIN,NE_2,NE,NE,2572
C1,10034555,1,te,t,4042,4042,MAIN,DI_7,SA,SA,4465
C1,10034555,1,te,t,4042,4042,MAIN,AF_9,NE,NE,2380
C1,10034555,1,te,t,4042,4042,MAIN,HA_6,HA,HA,1910
C1,10034555,1,te,t,4042,4042,MAIN,HA_2,HA,HA,2381
C1,10034555,1,te,t,4042,4042,MAIN,AF_4,DI,DI,3268
C1,10034555,1,te,t,4042,4042,MAIN,DI_2,SA,SA,4231
C1,10034555,1,te,t,4042,4042,MAIN,SA_8,NE,NE,3506
C1,10034555,1,te,t,4042,4042,MAIN,HA_9,HA,HA,1723
C1,10034555,1,te,t,4042,4042,MAIN,SU_2,HA,HA,1684
C1,10034555,1,te,t,4042,4042,MAIN,AN_2,NE,NE,1503
C1,10034555,1,te,t,4042,4042,MAIN,SA_9,AN,AN,3081
C1,10034555,1,te,t,4042,4042,MAIN,AF_8,SU,SU,2632
C1,10034555,1,te,t,4042,4042,MAIN,SA_2,NE,NE,1734
C1,10034555,1,te,t,4042,4042,MAIN,SU_5,HA,HA,1615
C1,10034555,1,te,t,4042,4042,MAIN,AN_4,AN,AN,4413
C1,10034555,1,te,t,4042,4042,MAIN,DI_1,NE,NE,2580
C1,10034555,1,te,t,4042,4042,MAIN,NE_4,NE,NE,4414
C3,10037229,1,en,t,8168,8168,PRACTICE,HA_0,HA,HA,4610
C3,10037229,1,en,t,8168,8168,PRACTICE,DI_0,DI,DI,10178
C3,10037229,1,en,t,8168,8168,PRACTICE,AN_0,AN,AN,6838
C3,10037229,1,en,t,8168,8168,PRACTICE,SA_0,SA,SA,14545
C3,10037229,1,en,t,8168,8168,PRACTICE,NE_0,NE,NE,5411
C3,10037229,1,en,t,8168,8168,ERT_PREMAIN,ERT_PREMAIN,REPEAT,anykey,4409
C3,10037229,1,en,t,8168,8168,MAIN,AN_10,AN,AN,11561
C3,10037229,1,en,t,8168,8168,MAIN,DI_2,AN,AN,7376
C3,10037229,1,en,t,8168,8168,MAIN,HA_4,HA,HA,4471
C3,10037229,1,en,t,8168,8168,MAIN,SA_7,AN,AN,3545
C3,10037229,1,en,t,8168,8168,MAIN,DI_6,AN,AN,5079
C3,10037229,1,en,t,8168,8168,MAIN,NE_1,AN,AN,9246
C3,10037229,1,en,t,8168,8168,MAIN,AF_10,AN,AN,8401
C3,10037229,1,en,t,8168,8168,MAIN,SU_4,HA,HA,9803
C3,10037229,1,en,t,8168,8168,MAIN,AN_5,HA,HA,9677
C3,10037229,1,en,t,8168,8168,MAIN,DI_7,AN,AN,24880
C3,10037229,1,en,t,8168,8168,MAIN,AN_6,AF,AF,5751
C3,10037229,1,en,t,8168,8168,MAIN,SU_9,DI,DI,3516
C3,10037229,1,en,t,8168,8168,MAIN,SA_1,HA,HA,2781
C3,10037229,1,en,t,8168,8168,MAIN,HA_10,SA,SA,5810
C3,10037229,1,en,t,8168,8168,MAIN,NE_5,AN,AN,3357
C3,10037229,1,en,t,8168,8168,MAIN,AF_5,AF,AF,1799
C3,10037229,1,en,t,8168,8168,MAIN,SU_10,DI,DI,1534
C3,10037229,1,en,t,8168,8168,MAIN,SA_9,NE,NE,1971
C3,10037229,1,en,t,8168,8168,MAIN,DI_9,SU,SU,1610
C3,10037229,1,en,t,8168,8168,MAIN,NE_8,DI,DI,3179
C3,10037229,1,en,t,8168,8168,MAIN,AN_2,AN,AN,3281
C3,10037229,1,en,t,8168,8168,MAIN,SU_2,AF,AF,5508
C3,10037229,1,en,t,8168,8168,MAIN,SA_5,DI,DI,1784
C3,10037229,1,en,t,8168,8168,MAIN,SU_8,NE,NE,1523
C3,10037229,1,en,t,8168,8168,MAIN,HA_8,SU,SU,1392
C3,10037229,1,en,t,8168,8168,MAIN,AN_1,NE,NE,2547
C3,10037229,1,en,t,8168,8168,MAIN,SU_1,DI,DI,1574
C3,10037229,1,en,t,8168,8168,MAIN,NE_3,AF,AF,1378
C3,10037229,1,en,t,8168,8168,MAIN,AN_3,AN,AN,1936
C3,10037229,1,en,t,8168,8168,MAIN,SA_6,SA,SA,1176
C3,10037229,1,en,t,8168,8168,MAIN,AF_7,HA,HA,3429
C3,10037229,1,en,t,8168,8168,MAIN,AN_7,SA,SA,2199
C3,10037229,1,en,t,8168,8168,MAIN,NE_2,AN,AN,2851
C3,10037229,1,en,t,8168,8168,MAIN,DI_10,AF,AF,3879
C3,10037229,1,en,t,8168,8168,MAIN,SA_2,DI,DI,1631
C3,10037229,1,en,t,8168,8168,MAIN,AF_4,NE,NE,1407
C3,10037229,1,en,t,8168,8168,MAIN,AF_3,SU,SU,1084
C3,10037229,1,en,t,8168,8168,MAIN,NE_7,NE,NE,5731
C3,10037229,1,en,t,8168,8168,MAIN,DI_3,AF,AF,4622
C3,10037229,1,en,t,8168,8168,MAIN,DI_8,AN,AN,4627
C3,10037229,1,en,t,8168,8168,MAIN,AF_1,HA,HA,9247
C3,10037229,1,en,t,8168,8168,MAIN,AF_6,SA,SA,3151
C3,10037229,1,en,t,8168,8168,MAIN,AF_2,AF,AF,6420
C3,10037229,1,en,t,8168,8168,MAIN,AF_8,DI,DI,2552
C3,10037229,1,en,t,8168,8168,MAIN,SU_7,NE,NE,3452
C3,10037229,1,en,t,8168,8168,MAIN,SA_4,SU,SU,4560
C3,10037229,1,en,t,8168,8168,MAIN,NE_4,DI,DI,1986
C3,10037229,1,en,t,8168,8168,MAIN,DI_1,AN,AN,1788
C3,10037229,1,en,t,8168,8168,MAIN,SA_3,SA,SA,3532
C3,10037229,1,en,t,8168,8168,MAIN,AN_9,HA,HA,1680
C3,10037229,1,en,t,8168,8168,MAIN,AF_9,AF,AF,2199
C3,10037229,1,en,t,8168,8168,MAIN,NE_9,DI,DI,1497
C3,10037229,1,en,t,8168,8168,MAIN,DI_4,NE,NE,1120
C3,10037229,1,en,t,8168,8168,MAIN,HA_5,SU,SU,5205
C3,10037229,1,en,t,8168,8168,MAIN,HA_2,NE,NE,1493
C3,10037229,1,en,t,8168,8168,MAIN,DI_5,AF,AF,3690
C3,10037229,1,en,t,8168,8168,MAIN,SA_10,AN,AN,2532
C3,10037229,1,en,t,8168,8168,MAIN,HA_6,SA,SA,2591
C3,10037229,1,en,t,8168,8168,MAIN,AN_4,HA,HA,4236
C3,10037229,1,en,t,8168,8168,MAIN,NE_10,SA,SA,6081
C3,10037229,1,en,t,8168,8168,MAIN,SU_3,AN,AN,5952
C3,10037229,1,en,t,8168,8168,MAIN,SA_8,AF,AF,1862
C3,10037229,1,en,t,8168,8168,MAIN,NE_6,DI,DI,1641
C3,10037229,1,en,t,8168,8168,MAIN,HA_7,NE,NE,3406
C3,10037229,1,en,t,8168,8168,MAIN,AN_8,SU,SU,1024
C3,10037229,1,en,t,8168,8168,MAIN,SU_5,NE,NE,1811
C3,10037229,1,en,t,8168,8168,MAIN,HA_1,AF,AF,1351
C3,10037229,1,en,t,8168,8168,MAIN,HA_9,AN,AN,2578
C3,10037229,1,en,t,8168,8168,MAIN,HA_3,SA,SA,1299
C3,10037229,1,en,t,8168,8168,MAIN,SU_6,HA,HA,1970
C2,10043112,1,te,t,5500,5500,PRACTICE,AN_0,SU,SU,13984
C2,10043112,1,te,t,5500,5500,PRACTICE,DI_0,SA,SA,2754
C2,10043112,1,te,t,5500,5500,PRACTICE,NE_0,AF,AF,3209
C2,10043112,1,te,t,5500,5500,PRACTICE,HA_0,HA,HA,3059
C2,10043112,1,te,t,5500,5500,PRACTICE,SA_0,SA,SA,1726
C2,10043112,1,te,t,5500,5500,MAIN,AN_4,AN,AN,2320
C2,10043112,1,te,t,5500,5500,MAIN,SU_1,HA,HA,2305
C2,10043112,1,te,t,5500,5500,MAIN,HA_3,HA,HA,2067
C2,10043112,1,te,t,5500,5500,MAIN,NE_8,AF,AF,3967
C2,10043112,1,te,t,5500,5500,MAIN,NE_4,SU,SU,3281
C2,10043112,1,te,t,5500,5500,MAIN,SA_10,AN,AN,2136
C2,10043112,1,te,t,5500,5500,MAIN,AF_4,AN,AN,2342
C2,10043112,1,te,t,5500,5500,MAIN,AF_3,SU,SU,4657
C2,10043112,1,te,t,5500,5500,MAIN,SU_3,SU,SU,1483
C2,10043112,1,te,t,5500,5500,MAIN,HA_9,HA,HA,2442
C2,10043112,1,te,t,5500,5500,MAIN,SA_7,SA,SA,2580
C2,10043112,1,te,t,5500,5500,MAIN,HA_6,HA,HA,1844
C2,10043112,1,te,t,5500,5500,MAIN,NE_9,AF,AF,3190
C2,10043112,1,te,t,5500,5500,MAIN,AF_2,SU,SU,1712
C2,10043112,1,te,t,5500,5500,MAIN,DI_1,AN,AN,2266
C2,10043112,1,te,t,5500,5500,MAIN,NE_10,SU,SU,5696
C2,10043112,1,te,t,5500,5500,MAIN,SA_1,AN,AN,2947
C2,10043112,1,te,t,5500,5500,MAIN,AF_7,SU,SU,3817
C2,10043112,1,te,t,5500,5500,MAIN,AN_9,AN,AN,1990
C2,10043112,1,te,t,5500,5500,MAIN,SU_7,HA,HA,2001
C2,10043112,1,te,t,5500,5500,MAIN,SU_4,SU,SU,2381
C2,10043112,1,te,t,5500,5500,MAIN,AN_3,AN,AN,2366
C2,10043112,1,te,t,5500,5500,MAIN,HA_1,HA,HA,2204
C2,10043112,1,te,t,5500,5500,MAIN,HA_5,HA,HA,2260
C2,10043112,1,te,t,5500,5500,MAIN,SA_9,AN,AN,2046
C2,10043112,1,te,t,5500,5500,MAIN,NE_3,SU,SU,2485
C2,10043112,1,te,t,5500,5500,MAIN,SU_6,SU,SU,1840
C2,10043112,1,te,t,5500,5500,MAIN,NE_1,AF,AF,2533
C2,10043112,1,te,t,5500,5500,MAIN,SA_5,AF,AF,2708
C2,10043112,1,te,t,5500,5500,MAIN,HA_4,HA,HA,2172
C2,10043112,1,te,t,5500,5500,MAIN,AF_8,SU,SU,2578
C2,10043112,1,te,t,5500,5500,MAIN,AF_6,SU,SU,2097
C2,10043112,1,te,t,5500,5500,MAIN,DI_9,DI,DI,4673
C2,10043112,1,te,t,5500,5500,MAIN,AN_1,AN,AN,2144
C2,10043112,1,te,t,5500,5500,MAIN,SU_10,SA,SA,3404
C2,10043112,1,te,t,5500,5500,MAIN,DI_5,SA,SA,2082
C2,10043112,1,te,t,5500,5500,MAIN,DI_7,AN,AN,1855
C2,10043112,1,te,t,5500,5500,MAIN,AN_10,DI,DI,3420
C2,10043112,1,te,t,5500,5500,MAIN,SU_8,HA,HA,2057
C2,10043112,1,te,t,5500,5500,MAIN,SA_8,SA,SA,2552
C2,10043112,1,te,t,5500,5500,MAIN,SU_9,SU,SU,2333
C2,10043112,1,te,t,5500,5500,MAIN,AN_6,AN,AN,3737
C2,10043112,1,te,t,5500,5500,MAIN,AN_5,DI,DI,3116
C2,10043112,1,te,t,5500,5500,MAIN,AN_7,AN,AN,2575
C2,10043112,1,te,t,5500,5500,MAIN,SU_2,HA,HA,2198
C2,10043112,1,te,t,5500,5500,MAIN,AN_2,DI,DI,3439
C2,10043112,1,te,t,5500,5500,MAIN,DI_8,DI,DI,1680
C2,10043112,1,te,t,5500,5500,MAIN,AF_10,AF,AF,2652
C2,10043112,1,te,t,5500,5500,MAIN,AN_8,AN,AN,2328
C2,10043112,1,te,t,5500,5500,MAIN,AF_9,SU,SU,1845
C2,10043112,1,te,t,5500,5500,MAIN,DI_10,AN,AN,4545
C2,10043112,1,te,t,5500,5500,MAIN,NE_5,SA,SA,3397
C2,10043112,1,te,t,5500,5500,MAIN,HA_8,HA,HA,1803
C2,10043112,1,te,t,5500,5500,MAIN,AF_5,SU,SU,1492
C2,10043112,1,te,t,5500,5500,MAIN,DI_4,AN,AN,1748
C2,10043112,1,te,t,5500,5500,MAIN,NE_2,AF,AF,1814
C2,10043112,1,te,t,5500,5500,MAIN,HA_10,HA,HA,1819
C2,10043112,1,te,t,5500,5500,MAIN,SU_5,HA,HA,1932
C2,10043112,1,te,t,5500,5500,MAIN,SA_3,SA,SA,1790
C2,10043112,1,te,t,5500,5500,MAIN,SA_4,SA,SA,2448
C2,10043112,1,te,t,5500,5500,MAIN,SA_2,DI,DI,2778
C2,10043112,1,te,t,5500,5500,MAIN,DI_3,DI,DI,3132
C2,10043112,1,te,t,5500,5500,MAIN,SA_6,SA,SA,3094
C2,10043112,1,te,t,5500,5500,MAIN,HA_2,AN,AN,3468
C2,10043112,1,te,t,5500,5500,MAIN,NE_6,HA,HA,2468
C2,10043112,1,te,t,5500,5500,MAIN,DI_2,AF,AF,3426
C2,10043112,1,te,t,5500,5500,MAIN,DI_6,SA,SA,2600
C2,10043112,1,te,t,5500,5500,MAIN,AF_1,SU,SU,2771
C2,10043112,1,te,t,5500,5500,MAIN,HA_7,HA,HA,2239
C2,10043112,1,te,t,5500,5500,MAIN,NE_7,NE,NE,5422
