subnum,block,trial,practice,cue,topbottom,targdir,flankercoherence,flankerdir,time0,delay,resp,corr,rt
aoeuaeou,0,1,1,1,lo,1,0,0,6950,1025.04,<rshift>,1,685
aoeuaeou,0,2,1,3,hi,1,1,1,10950,580.588,<rshift>,1,171
aoeuaeou,0,3,1,2,lo,-1,0,0,14950,455.341,<lshift>,1,602
aoeuaeou,0,4,1,4,lo,-1,1,-1,18950,564.663,<lshift>,1,485
thaeou,0,1,1,2,hi,-1,-1,1,26384,886.108,<lshift>,1,1025
thaeou,0,2,1,3,hi,1,1,1,30384,480.269,<rshift>,1,1269
,0,1,1,4,hi,-1,-1,1,5351,1288.65,<lshift>,1,108
,0,2,1,1,hi,-1,0,0,9351,428.147,<timeout>,0,1700
,0,3,1,3,lo,1,-1,-1,13351,975.591,<rshift>,1,580
,0,4,1,3,hi,1,0,0,17351,641.067,<timeout>,0,1700
,0,5,1,2,hi,-1,0,0,21351,401.601,<timeout>,0,1700
_tht,0,1,1,2,lo,-1,1,-1,6037,712.602,<rshift>,0,1019
_tht,0,2,1,1,hi,-1,1,-1,10037,1428.4,<rshift>,0,1295
_tht,0,3,1,2,hi,1,1,1,14037,1077.85,<rshift>,1,1423
_tht,0,4,1,2,lo,1,0,0,18037,1338.22,<rshift>,1,565
_tht,0,5,1,2,lo,-1,-1,1,22037,956.05,<rshift>,0,797
_tht,0,6,1,1,lo,-1,1,-1,26037,1523.55,<timeout>,0,1700
_tht,0,7,1,4,lo,-1,1,-1,30037,568.485,<timeout>,0,1700
_tht,0,8,1,3,lo,-1,-1,1,34037,1239.62,<timeout>,0,1700
_tht,0,9,1,3,lo,1,-1,-1,38037,1234.23,<timeout>,0,1700
_tht,0,10,1,2,hi,1,0,0,42037,465.01,<timeout>,0,1700
bmb,0,1,1,1,lo,-1,0,0,12196,1331.7,<rshift>,0,1107
tht,0,1,1,3,hi,-1,1,-1,16255,1160.06,<timeout>,0,1700
tht,0,2,1,1,lo,1,-1,-1,20255,1160.43,<timeout>,0,1700
tht,0,3,1,3,lo,-1,-1,1,24255,970.007,<timeout>,0,1700
tht,0,4,1,3,lo,1,0,0,28255,1015.29,<timeout>,0,1700
thtuha,0,1,1,3,hi,-1,0,0,7633,1595.55,<timeout>,0,1700
thtuha,0,2,1,1,hi,-1,0,0,11633,983.996,<timeout>,0,1700
thtuha,0,3,1,4,hi,-1,0,0,15633,653.12,<timeout>,0,1700
thtuha,0,4,1,1,lo,1,1,1,19633,658.054,<timeout>,0,1700
uhateouha,0,1,1,3,lo,1,1,1,10773,1515.2,<timeout>,0,1700
