subnum,block,trial,practice,cue,topbottom,targdir,flankercoherence,flankerdir,time0,delay,resp,corr,rt
_tht,0,1,1,2,lo,-1,1,-1,6037,712.602,<rshift>,0,1019
_tht,0,2,1,1,hi,-1,1,-1,10037,1428.4,<rshift>,0,1295
_tht,0,3,1,2,hi,1,1,1,14037,1077.85,<rshift>,1,1423
_tht,0,4,1,2,lo,1,0,0,18037,1338.22,<rshift>,1,565
_tht,0,5,1,2,lo,-1,-1,1,22037,956.05,<rshift>,0,797
_tht,0,6,1,1,lo,-1,1,-1,26037,1523.55,<timeout>,0,1700
_tht,0,7,1,4,lo,-1,1,-1,30037,568.485,<timeout>,0,1700
_tht,0,8,1,3,lo,-1,-1,1,34037,1239.62,<timeout>,0,1700
_tht,0,9,1,3,lo,1,-1,-1,38037,1234.23,<timeout>,0,1700
_tht,0,10,1,2,hi,1,0,0,42037,465.01,<timeout>,0,1700
