subnum,type,block,congruency,trial,stim,resp,corr,rt,tooslow
oeueoauth,practice,0,-1,1,4,right,0,744,0
oeueoauth,practice,0,1,2,1,left,1,381,0
oeueoauth,practice,0,0,3,5,right,0,392,0
oeueoauth,practice,0,-1,4,2,right,1,1024,0
oeueoauth,practice,0,1,5,3,right,1,841,0
oeueoauth,practice,0,0,6,6,right,1,857,0
oeueoauth,neutral,1,0,1,5,right,0,532,0
oeueoauth,neutral,1,0,2,6,right,1,422,0
oeueoauth,neutral,1,0,3,5,left,1,228,0
oeueoauth,neutral,1,0,4,5,left,1,294,0
oeueoauth,neutral,1,0,5,6,right,1,224,0
oeueoauth,neutral,1,0,6,6,-1,0,3000,1
oeueoauth,neutral,1,0,7,5,-1,0,3000,1
oeueoauth,neutral,1,0,8,6,-1,0,3000,1
oeueoauth,neutral,1,0,9,6,-1,0,3000,1
oeueoauth,neutral,1,0,10,5,-1,0,3000,1
oeueoauth,neutral,1,0,11,5,-1,0,3000,1
oeueoauth,neutral,1,0,12,6,-1,0,3000,1
oeueoauth,neutral,1,0,13,6,-1,0,3000,1
oeueoauth,neutral,1,0,14,5,-1,0,3000,1
oeueoauth,neutral,1,0,15,6,-1,0,3000,1
oeueoauth,neutral,1,0,16,5,-1,0,3000,1
oeueoauth,neutral,1,0,17,6,-1,0,3000,1
oeueoauth,neutral,1,0,18,5,-1,0,3000,1
oeueoauth,neutral,1,0,19,5,-1,0,3000,1
oeueoauth,neutral,1,0,20,6,-1,0,3000,1
oeueoauth,congruent,2,1,1,1,right,0,2947,0
oeueoauth,congruent,2,1,2,1,left,1,449,0
oeueoauth,congruent,2,1,3,3,left,0,430,0
oeueoauth,congruent,2,1,4,3,right,1,389,0
oeueoauth,congruent,2,1,5,1,right,0,330,0
oeueoauth,congruent,2,1,6,3,right,1,402,0
oeueoauth,congruent,2,1,7,1,left,1,330,0
oeueoauth,congruent,2,1,8,3,left,0,362,0
oeueoauth,congruent,2,1,9,3,right,1,572,0
oeueoauth,congruent,2,1,10,1,left,1,936,0
oeueoauth,congruent,2,1,11,3,right,1,2661,0
oeueoauth,congruent,2,1,12,1,left,1,675,0
oeueoauth,congruent,2,1,13,1,left,1,520,0
oeueoauth,congruent,2,1,14,3,right,1,632,0
oeueoauth,congruent,2,1,15,1,left,1,560,0
oeueoauth,congruent,2,1,16,1,left,1,445,0
oeueoauth,congruent,2,1,17,3,right,1,557,0
oeueoauth,congruent,2,1,18,3,right,1,977,0
oeueoauth,congruent,2,1,19,1,right,0,408,0
oeueoauth,congruent,2,1,20,3,right,1,1487,0
oeueoauth,incongruent,3,-1,1,2,left,0,531,0
oeueoauth,incongruent,3,-1,2,4,right,0,526,0
oeueoauth,incongruent,3,-1,3,2,right,1,749,0
oeueoauth,incongruent,3,-1,4,2,right,1,509,0
oeueoauth,incongruent,3,-1,5,4,left,1,433,0
oeueoauth,incongruent,3,-1,6,2,left,0,421,0
