subnum,type,block,congruency,trial,stim,resp,corr,rt,tooslow
tehuaou,practice,0,1,1,3,left,0,1246,0
tehuaou,practice,0,0,2,5,-1,0,7229,1
tehuaou,practice,0,0,3,6,right,1,520,0
tehuaou,practice,0,1,4,1,left,1,749,0
tehuaou,practice,0,-1,5,4,right,0,4531,0
tehuaou,practice,0,-1,6,2,left,0,639,0
tehuaou,neutral,1,0,1,6,right,1,816,0
tehuaou,neutral,1,0,2,6,left,0,583,0
tehuaou,neutral,1,0,3,5,left,1,364,0
tehuaou,neutral,1,0,4,6,right,1,442,0
tehuaou,neutral,1,0,5,6,left,0,2241,0
tehuaou,neutral,1,0,6,5,right,0,1899,0
tehuaou,neutral,1,0,7,5,right,0,293,0
tehuaou,neutral,1,0,8,6,left,0,739,0
