subnum,type,block,congruency,trial,stim,resp,corr,rt,tooslow
thth,practice,0,-1,1,4,-1,0,3000,1
thth,practice,0,-1,2,2,right,1,520,0
thth,practice,0,0,3,5,left,1,841,0
thth,practice,0,1,4,3,-1,0,3000,1
thth,practice,0,0,5,6,right,1,498,0
thth,practice,0,1,6,1,left,1,428,0
thth,neutral,1,0,1,6,right,1,948,0
thth,neutral,1,0,2,5,left,1,577,0
thth,neutral,1,0,3,6,right,1,630,0
thth,neutral,1,0,4,5,left,1,469,0
thth,neutral,1,0,5,6,right,1,722,0
thth,neutral,1,0,6,6,right,1,482,0
thth,neutral,1,0,7,5,left,1,474,0
thth,neutral,1,0,8,6,right,1,671,0
thth,neutral,1,0,9,5,left,1,472,0
thth,neutral,1,0,10,5,left,1,428,0
thth,neutral,1,0,11,6,left,0,329,0
thth,neutral,1,0,12,6,right,1,419,0
thth,neutral,1,0,13,5,left,1,510,0
thth,neutral,1,0,14,6,right,1,414,0
thth,neutral,1,0,15,5,left,1,665,0
thth,neutral,1,0,16,5,left,1,1107,0
thth,neutral,1,0,17,6,right,1,1027,0
thth,neutral,1,0,18,6,right,1,752,0
thth,neutral,1,0,19,5,left,1,923,0
thth,neutral,1,0,20,5,left,1,1165,0
thth,congruent,2,1,1,3,right,1,659,0
thth,congruent,2,1,2,3,right,1,471,0
thth,congruent,2,1,3,1,left,1,453,0
thth,congruent,2,1,4,3,right,1,510,0
thth,congruent,2,1,5,1,right,0,494,0
thth,congruent,2,1,6,1,left,1,610,0
thth,congruent,2,1,7,3,right,1,556,0
thth,congruent,2,1,8,1,left,1,599,0
thth,congruent,2,1,9,1,left,1,640,0
thth,congruent,2,1,10,3,right,1,530,0
thth,congruent,2,1,11,3,right,1,511,0
thth,congruent,2,1,12,1,left,1,761,0
thth,congruent,2,1,13,3,right,1,484,0
thth,congruent,2,1,14,3,right,1,365,0
thth,congruent,2,1,15,1,left,1,484,0
thth,congruent,2,1,16,3,right,1,509,0
thth,congruent,2,1,17,1,right,0,347,0
thth,congruent,2,1,18,3,right,1,600,0
thth,congruent,2,1,19,1,left,1,493,0
thth,congruent,2,1,20,1,left,1,464,0
thth,incongruent,3,-1,1,2,right,1,1495,0
thth,incongruent,3,-1,2,4,left,1,690,0
thth,incongruent,3,-1,3,2,right,1,1247,0
thth,incongruent,3,-1,4,4,left,1,1074,0
thth,incongruent,3,-1,5,2,right,1,2442,0
thth,incongruent,3,-1,6,2,right,1,715,0
thth,incongruent,3,-1,7,4,left,1,834,0
thth,incongruent,3,-1,8,4,left,1,497,0
thth,incongruent,3,-1,9,2,right,1,528,0
thth,incongruent,3,-1,10,2,right,1,505,0
thth,incongruent,3,-1,11,4,left,1,516,0
thth,incongruent,3,-1,12,2,left,0,406,0
thth,incongruent,3,-1,13,4,left,1,640,0
thth,incongruent,3,-1,14,4,left,1,600,0
thth,incongruent,3,-1,15,2,right,1,552,0
thth,incongruent,3,-1,16,4,left,1,919,0
thth,incongruent,3,-1,17,2,right,1,579,0
thth,incongruent,3,-1,18,2,right,1,555,0
thth,incongruent,3,-1,19,4,left,1,1066,0
thth,incongruent,3,-1,20,4,left,1,491,0
thth,mixed,4,-1,1,4,left,1,1294,0
thth,mixed,4,-1,2,4,left,1,615,0
thth,mixed,4,0,3,6,right,1,659,0
thth,mixed,4,-1,4,2,right,1,522,0
thth,mixed,4,-1,5,2,right,1,465,0
thth,mixed,4,1,6,3,right,1,420,0
thth,mixed,4,1,7,1,left,1,501,0
thth,mixed,4,1,8,3,right,1,543,0
thth,mixed,4,1,9,3,right,1,389,0
thth,mixed,4,0,10,6,right,1,325,0
thth,mixed,4,1,11,3,right,1,648,0
thth,mixed,4,0,12,5,left,1,481,0
thth,mixed,4,-1,13,4,left,1,622,0
thth,mixed,4,0,14,5,left,1,430,0
thth,mixed,4,0,15,5,left,1,454,0
thth,mixed,4,-1,16,2,right,1,569,0
thth,mixed,4,1,17,1,left,1,735,0
thth,mixed,4,0,18,5,left,1,682,0
thth,mixed,4,-1,19,4,right,0,631,0
thth,mixed,4,0,20,5,left,1,590,0
thth,mixed,4,-1,21,4,left,1,658,0
thth,mixed,4,0,22,6,right,1,399,0
thth,mixed,4,0,23,6,right,1,910,0
thth,mixed,4,1,24,1,left,1,487,0
thth,mixed,4,1,25,1,left,1,409,0
thth,mixed,4,1,26,3,right,1,826,0
thth,mixed,4,-1,27,2,right,1,832,0
thth,mixed,4,1,28,1,left,1,676,0
thth,mixed,4,-1,29,2,right,1,764,0
thth,mixed,4,0,30,6,right,1,1004,0
thth,practice,0,-1,1,2,left,0,2293,0
thth,practice,0,1,2,3,left,0,455,0
thth,practice,0,1,3,1,left,1,247,0
thth,practice,0,0,4,5,left,1,126,0
thth,practice,0,-1,5,4,left,1,2033,0
thth,practice,0,0,6,6,left,0,909,0
thth,neutral,1,0,1,6,left,0,902,0
thth,neutral,1,0,2,5,left,1,1193,0
thth,neutral,1,0,3,6,left,0,373,0
thth,neutral,1,0,4,6,left,0,217,0
thth,neutral,1,0,5,5,left,1,210,0
thth,neutral,1,0,6,6,left,0,179,0
thth,neutral,1,0,7,5,left,1,512,0
thth,neutral,1,0,8,6,left,0,2342,0
thth,neutral,1,0,9,5,-1,0,3000,1
thth,neutral,1,0,10,5,-1,0,3000,1
thth,neutral,1,0,11,6,-1,0,3000,1
thth,neutral,1,0,12,6,-1,0,3000,1
thth,neutral,1,0,13,5,-1,0,3000,1
thth,neutral,1,0,14,5,-1,0,3000,1
thth,neutral,1,0,15,6,-1,0,3000,1
thth,neutral,1,0,16,6,-1,0,3000,1
thth,neutral,1,0,17,5,-1,0,3000,1
thth,neutral,1,0,18,5,-1,0,3000,1
thth,neutral,1,0,19,6,-1,0,3000,1
thth,neutral,1,0,20,5,-1,0,3000,1
