subnum,type,block,congruency,trial,stim,resp,corr,rt,tooslow
tohua,practice,0,0,1,5,right,0,3919,0
tohua,practice,0,1,2,1,left,1,475,0
tohua,practice,0,1,3,3,right,1,494,0
tohua,practice,0,-1,4,2,left,0,249,0
tohua,practice,0,0,5,6,right,1,512,0
tohua,practice,0,-1,6,4,left,1,251,0
tohua,neutral,1,0,1,6,right,1,1014,0
tohua,neutral,1,0,2,6,left,0,364,0
tohua,neutral,1,0,3,5,left,1,207,0
tohua,neutral,1,0,4,6,right,1,436,0
tohua,neutral,1,0,5,6,left,0,892,0
tohua,neutral,1,0,6,5,right,0,456,0
tohua,neutral,1,0,7,6,left,0,272,0
tohua,neutral,1,0,8,5,right,0,253,0
tohua,neutral,1,0,9,5,left,1,168,0
tohua,neutral,1,0,10,6,right,1,405,0
tohua,neutral,1,0,11,6,right,1,1518,0
tohua,neutral,1,0,12,5,left,1,947,0
tohua,neutral,1,0,13,5,-1,0,3000,1
tohua,neutral,1,0,14,6,right,1,750,0
tohua,neutral,1,0,15,5,left,1,1019,0
tohua,neutral,1,0,16,6,right,1,1180,0
tohua,neutral,1,0,17,5,left,1,996,0
tohua,neutral,1,0,18,6,right,1,1151,0
tohua,neutral,1,0,19,5,left,1,808,0
tohua,neutral,1,0,20,5,left,1,681,0
tohua,congruent,2,1,1,3,right,1,2371,0
tohua,congruent,2,1,2,3,right,1,513,0
tohua,congruent,2,1,3,1,left,1,744,0
tohua,congruent,2,1,4,1,right,0,1039,0
tohua,congruent,2,1,5,3,right,1,1312,0
tohua,congruent,2,1,6,3,right,1,344,0
tohua,congruent,2,1,7,1,left,1,807,0
tohua,congruent,2,1,8,3,right,1,759,0
tohua,congruent,2,1,9,3,right,1,814,0
tohua,congruent,2,1,10,1,left,1,638,0
tohua,congruent,2,1,11,1,left,1,1726,0
tohua,congruent,2,1,12,3,right,1,659,0
tohua,congruent,2,1,13,1,left,1,1215,0
tohua,congruent,2,1,14,3,right,1,771,0
tohua,congruent,2,1,15,1,left,1,203,0
tohua,congruent,2,1,16,1,right,0,336,0
tohua,congruent,2,1,17,3,left,0,195,0
tohua,congruent,2,1,18,1,right,0,274,0
tohua,congruent,2,1,19,3,right,1,673,0
tohua,congruent,2,1,20,1,left,1,835,0
tohua,incongruent,3,-1,1,4,right,0,802,0
tohua,incongruent,3,-1,2,2,left,0,300,0
tohua,incongruent,3,-1,3,2,right,1,308,0
tohua,incongruent,3,-1,4,4,left,1,190,0
tohua,incongruent,3,-1,5,2,right,1,744,0
tohua,incongruent,3,-1,6,4,left,1,217,0
tohua,incongruent,3,-1,7,4,left,1,118,0
tohua,incongruent,3,-1,8,2,right,1,168,0
tohua,incongruent,3,-1,9,2,right,1,125,0
tohua,incongruent,3,-1,10,4,left,1,195,0
tohua,incongruent,3,-1,11,4,left,1,679,0
tohua,incongruent,3,-1,12,2,right,1,309,0
tohua,incongruent,3,-1,13,2,right,1,2360,0
tohua,incongruent,3,-1,14,4,left,1,700,0
tohua,incongruent,3,-1,15,2,left,0,982,0
tohua,incongruent,3,-1,16,4,-1,0,3812,1
