subnum,trial,block,condition,showDuration,phase,level,numNumbers,clickNum,correct,clickX,clickY,targetNum,rt,pixelsPerCm,eyeDistanceCm,screenWidthCm,screenHeightCm,boxSizePixels,boxSizeDegrees,spacing
aaa,1,0,timed,210,practice,4,4,1,1,890,511,1,3519,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,1,0,timed,210,practice,4,4,2,1,742,437,2,448,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,1,0,timed,210,practice,4,4,3,0,1112,511,4,907,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,2,0,timed,210,practice,4,4,1,1,742,289,1,1257,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,2,0,timed,210,practice,4,4,2,1,742,585,2,941,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,2,0,timed,210,practice,4,4,3,1,1112,289,3,884,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,2,0,timed,210,practice,4,4,4,1,1038,289,4,472,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,3,0,timed,210,practice,4,4,1,1,1112,437,1,791,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,3,0,timed,210,practice,4,4,2,1,890,437,2,462,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,3,0,timed,210,practice,4,4,3,1,1186,585,3,941,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,3,0,timed,210,practice,4,4,4,1,1186,511,4,358,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,1,1,timed,210,test,5,5,1,1,964,289,1,852,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,1,1,timed,210,test,5,5,2,1,816,363,2,457,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,1,1,timed,210,test,5,5,3,1,890,585,3,1286,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,1,1,timed,210,test,5,5,4,1,668,437,4,563,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,1,1,timed,210,test,5,5,5,1,964,437,5,652,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,2,1,timed,210,test,5,5,1,0,1038,289,4,1098,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,3,1,timed,210,test,5,5,1,1,742,585,1,1123,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,3,1,timed,210,test,5,5,2,1,890,585,2,486,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,3,1,timed,210,test,5,5,3,0,1038,437,5,942,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,4,1,timed,210,test,5,5,1,1,742,585,1,1169,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,4,1,timed,210,test,5,5,2,1,742,437,2,591,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,4,1,timed,210,test,5,5,3,1,1186,289,3,927,55.8411,45.72,34.3833,21.4895,67,1.5,7
aaa,4,1,timed,210,test,5,5,4,0,1112,289,5,596,55.8411,45.72,34.3833,21.4895,67,1.5,7
