subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
ttht,1,P,-1,1,8423,9542,1119,1119,1,1080,495
ttht,1,P,-1,2,8423,10117,1694,325,3,1230,390
ttht,1,P,-1,3,8423,10694,2271,327,5,1110,300
ttht,1,P,-2,1,17244,18164,920,920,2,780,465
ttht,1,P,-2,2,17244,18607,1363,193,4,900,360
ttht,1,P,-2,3,17244,19225,1981,367,8,915,90
ttht,1,P,-3,1,25769,26645,876,876,6,1275,210
ttht,1,P,-3,2,25769,27270,1501,374,7,735,180
ttht,1,P,-3,3,25769,27777,2008,257,9,1095,120
ttht,1,T,1,1,35017,36321,1304,1304,8,915,90
ttht,1,T,1,2,35017,36940,1923,369,5,1110,300
ttht,1,T,2,1,42349,43576,1227,1227,6,1275,210
ttht,1,T,2,2,42349,44165,1816,339,4,900,360
