subnum,targ,foil,time,delay,resp,corr,mask,presstart,respend,prestime,rt
161,c,a,4026,134,<timeout>,0,?@&,4228,5966,134,1500
161,n,c,6026,219,<timeout>,0,#&*,6227,8049,219,1500
161,c,e,8052,216,<rshift>,1,%/?,8253,8949,226,369
161,d,o,10052,275,<lshift>,1,*$&,10253,11110,276,478
161,d,c,12052,257,<lshift>,1,%|#,12253,13033,257,421
161,c,d,14052,238,<lshift>,1,#@$,14253,15051,238,459
161,n,o,16052,165,<rshift>,1,@#%,16253,16999,166,478
161,n,e,18052,272,<rshift>,1,%\?,18253,19171,272,544
161,e,c,20052,119,<lshift>,0,|/&,20253,21169,119,687
161,d,n,22052,123,<lshift>,1,*?$,22253,23069,123,592
161,e,n,24052,231,<rshift>,1,#/$,24253,25137,231,551
161,n,c,26052,267,<rshift>,1,#?@,26253,27104,267,482
161,o,n,28052,296,<lshift>,1,#|*,28253,29105,297,453
161,a,c,30052,121,<lshift>,1,*$/,30252,31721,121,1245
161,e,o,32052,156,<lshift>,1,?*#,32253,33239,156,729
161,n,a,34052,131,<rshift>,0,%*$,34253,35018,131,532
161,d,c,36052,278,<rshift>,1,$|/,36253,37024,279,390
161,n,o,38052,151,<rshift>,1,%|?,38253,38922,151,416
161,n,a,40052,130,<lshift>,1,*@&,40253,40912,130,428
161,c,a,42052,168,<rshift>,1,?&|,42252,42895,168,373
161,c,o,44052,173,<lshift>,1,&#$,44252,44940,173,413
161,o,e,46052,241,<lshift>,1,@?\,46252,47042,241,448
161,a,d,48052,102,<timeout>,0,?%*,48253,49957,102,1500
161,d,c,50052,112,<lshift>,0,&@#,50253,51322,112,855
161,a,e,52052,209,<rshift>,0,|#\,52252,52621,210,58
161,n,o,54052,155,<lshift>,0,|%?,54253,54808,155,298
161,o,c,56052,201,<rshift>,0,&/$,56253,57153,201,597
161,e,a,58052,199,<lshift>,1,\&@,58253,59069,199,516
161,c,o,60052,257,<timeout>,0,@\#,60253,62113,258,1500
161,n,d,62116,160,<timeout>,0,/@%,62317,64081,162,1500
161,d,o,64116,220,<timeout>,0,@#%,64317,66141,221,1500
161,o,d,66144,163,<timeout>,0,/@*,66345,68111,164,1500
161,n,c,68144,249,<timeout>,0,%*$,68344,70194,249,1500
161,c,n,70197,124,<timeout>,0,/#@,70399,72124,124,1500
161,o,d,72197,127,<timeout>,0,*/\,72398,74127,127,1500
