subnum,trial,targ,foil,time,delay,resp,corr,mask,presstart,respend,prestime,rt
ouehtaou,1,g,d,6433,245,<rshift>,1,/#$,6633,7412,246,430
ouehtaou,2,o,d,8433,127,<rshift>,1,|$/,8634,9408,127,541
ouehtaou,3,d,g,10433,287,<lshift>,0,&|\,10634,11305,288,280
ouehtaou,4,o,e,12433,154,<rshift>,1,\|*,12634,13368,154,477
ouehtaou,5,g,e,14433,281,<rshift>,1,@%/,14634,15749,281,733
ouehtaou,6,g,n,16433,292,<lshift>,1,|/@,16634,17493,292,465
ouehtaou,7,d,n,18433,182,<lshift>,1,\@&,18633,19360,184,441
ouehtaou,8,g,o,20433,234,<rshift>,1,/?&,20634,21360,234,390
ouehtaou,9,d,o,22433,221,<rshift>,1,?$#,22634,23388,221,431
ouehtaou,10,o,d,24433,119,<rshift>,1,|/&,24634,25303,120,448
