subnum,block,trial,practice,standard,thresh,side,corr,abstime,rt
subnum,block,trial,practice,standard,thresh,side,corr,abstime,rt
51515,1,1,1,100,4,-1,0,2629,1011
51515,1,2,1,20,4,-1,1,4258,724
51515,1,3,1,20,3.75,-1,1,5599,463
51515,1,4,1,6,4,-1,1,6675,477
51515,1,5,1,50,4,1,1,7765,315
51515,1,6,1,20,3.5,1,1,8695,261
51515,1,7,1,20,3.25,1,1,9569,254
51515,1,8,1,6,3.75,-1,0,10441,272
51515,1,9,1,100,5,-1,0,11323,273
51515,1,10,1,6,4.75,-1,0,12219,248
51515,1,11,1,100,6,1,1,13080,227
51515,1,12,1,100,5.75,-1,1,13925,218
51515,1,13,1,6,5.75,1,0,14761,226
51515,1,14,1,6,6.75,-1,1,15594,286
51515,1,15,1,20,3,1,0,16494,531
51515,1,16,1,50,3.75,-1,1,17637,273
51515,1,17,1,50,3.5,-1,0,18522,320
51515,1,18,1,50,4.5,-1,0,19457,217
51515,1,19,1,100,5.5,1,1,20289,255
51515,1,20,1,50,5.5,1,1,21165,245
51515,1,21,1,20,4,1,1,22035,252
51515,1,22,1,20,3.75,1,1,22894,252
51515,1,23,1,100,5.25,1,1,23761,256
51515,1,24,1,100,5,-1,0,24637,274
51515,1,25,1,20,3.5,-1,0,25536,269
51515,1,26,1,100,6,-1,1,26416,308
51515,1,27,1,20,4.5,1,0,27349,283
51515,1,28,1,100,5.75,-1,1,28248,273
51515,1,29,1,100,5.5,1,0,29150,426
51515,1,30,1,6,6.5,1,0,30200,348
51515,1,31,1,50,5.25,-1,0,31159,274
51515,1,32,1,100,6.5,1,1,32043,387
51515,1,33,1,50,6.25,-1,0,33046,257
