subnum,block,trial,practice,standard,thresh,side,corr,abstime,rt
subnum,block,trial,practice,standard,thresh,side,corr,abstime,rt
toaunh,1,1,1,20,4,-1,1,3470,1191
toaunh,1,2,1,100,4,1,1,5264,963
toaunh,1,3,1,50,4,-1,0,6833,563
toaunh,1,4,1,50,5,1,0,7999,326
toaunh,1,5,1,20,3.75,-1,1,8928,295
toaunh,1,6,1,50,6,-1,0,9825,297
toaunh,1,7,1,20,3.5,1,0,10725,256
toaunh,1,8,1,100,3.75,1,0,11584,296
toaunh,1,9,1,20,4.5,-1,0,12484,284
toaunh,1,10,1,100,4.75,-1,0,13371,275
toaunh,1,11,1,100,5.75,1,0,14252,313
toaunh,1,12,1,100,6.75,-1,1,15169,305
toaunh,1,13,1,50,7,1,1,16078,224
