trial,size,pos,time,mouseX,mouseY
1,40,100,8753,949,632
1,40,100,8754,947,632
1,40,100,8765,943,631
1,40,100,8776,941,630
1,40,100,8788,939,630
1,40,100,8799,937,630
1,40,100,8811,937,630
1,40,100,8822,935,630
1,40,100,8833,935,630
1,40,100,8845,934,630
1,40,100,8856,934,630
1,40,100,8867,934,630
1,40,100,8879,934,630
1,40,100,8890,934,630
1,40,100,8901,934,630
1,40,100,8914,934,630
1,40,100,8925,934,630
1,40,100,8936,934,630
1,40,100,8947,933,630
1,40,100,8958,933,630
1,40,100,8969,933,630
1,40,100,8980,933,630
1,40,100,8991,933,630
1,40,100,9002,933,630
1,40,100,9013,933,630
1,40,100,9024,933,630
1,40,100,9035,933,630
1,40,100,9047,933,630
1,40,100,9058,933,630
1,40,100,9069,933,630
1,40,100,9080,933,630
1,40,100,9091,933,630
1,40,100,9102,933,630
1,40,100,9113,933,630
1,40,100,9124,933,630
1,40,100,9135,933,630
1,40,100,9146,933,630
1,40,100,9158,933,630
1,40,100,9169,933,630
1,40,100,9180,933,630
1,40,100,9191,933,630
1,40,100,9202,933,630
1,40,100,9213,933,630
1,40,100,9224,933,630
1,40,100,9235,933,630
1,40,100,9248,933,630
1,40,100,9259,933,630
1,40,100,9270,933,630
1,40,100,9281,933,630
1,40,100,9292,933,630
1,40,100,9303,933,630
1,40,100,9314,935,631
1,40,100,9325,935,631
1,40,100,9336,938,632
1,40,100,9347,941,632
1,40,100,9358,942,632
1,40,100,9369,944,632
1,40,100,9380,945,632
1,40,100,9395,947,632
1,40,100,9406,948,632
1,40,100,9417,950,632
1,40,100,9428,950,632
1,40,100,9439,950,632
1,40,100,9450,951,632
1,40,100,9462,951,632
1,40,100,9473,951,632
1,40,100,9484,951,632
1,40,100,9495,951,632
1,40,100,9506,951,632
1,40,100,9518,951,632
1,40,100,9529,951,632
1,40,100,9541,951,632
1,40,100,9552,951,632
1,40,100,9563,951,632
1,40,100,9574,944,630
1,40,100,9585,940,629
1,40,100,9596,927,627
1,40,100,9607,913,624
1,40,100,9618,906,623
1,40,100,9629,893,621
1,40,100,9640,887,620
1,40,100,9651,868,618
1,40,100,9662,855,618
1,40,100,9673,823,616
1,40,100,9684,788,613
1,40,100,9695,771,611
1,40,100,9706,743,606
1,40,100,9717,730,602
1,40,100,9728,707,594
1,40,100,9739,699,590
1,40,100,9750,685,582
1,40,100,9762,674,575
1,40,100,9773,671,573
1,40,100,9784,667,570
1,40,100,9795,666,569
1,40,100,9806,666,569
1,40,100,9817,666,569
1,40,100,9829,666,569
1,40,100,9840,666,569
1,40,100,9852,666,569
1,40,100,9863,666,569
1,40,100,9874,666,569
1,40,100,9885,666,569
1,40,100,9896,666,569
1,40,100,9907,666,569
1,40,100,9918,666,569
1,40,100,9929,666,569
1,40,100,9940,666,569
1,40,100,9952,666,569
1,40,100,9963,666,569
1,40,100,9974,666,569
1,40,100,9985,666,569
1,40,100,9996,666,569
1,40,100,10007,666,569
1,40,100,10018,666,569
1,40,100,10030,658,564
1,40,100,10041,621,549
1,40,100,10052,596,542
1,40,100,10063,545,530
1,40,100,10074,517,527
1,40,100,10085,451,525
1,40,100,10096,414,528
1,40,100,10107,338,543
1,40,100,10118,273,562
1,40,100,10129,250,572
1,40,100,10140,219,586
1,40,100,10151,209,590
1,40,100,10162,196,595
1,40,100,10173,193,596
1,40,100,10184,188,596
1,40,100,10195,187,595
1,40,100,10206,187,594
1,40,100,10217,187,594
1,40,100,10228,187,594
1,40,100,10240,187,594
1,40,100,10251,187,594
1,40,100,10262,187,594
1,40,100,10273,187,594
1,40,100,10284,187,594
1,40,100,10295,187,594
1,40,100,10306,187,594
1,40,100,10317,187,594
1,40,100,10328,187,594
1,40,100,10339,187,594
1,40,100,10350,187,594
1,40,100,10361,187,594
1,40,100,10373,187,594
1,40,100,10384,187,594
1,40,100,10395,187,594
1,40,100,10406,187,594
1,40,100,10417,187,594
1,40,100,10428,187,594
1,40,100,10439,187,594
1,40,100,10450,187,594
1,40,100,10461,187,594
1,40,100,10472,183,594
1,40,100,10483,181,594
1,40,100,10494,176,594
1,40,100,10505,174,594
1,40,100,10516,171,595
