trial,size,pos,time,mouseX,mouseY
1,10,700,9497,105,333
1,10,700,9499,105,333
1,10,700,9510,105,333
1,10,700,9521,105,333
1,10,700,9532,105,333
1,10,700,9543,105,333
1,10,700,9554,105,333
1,10,700,9565,105,333
1,10,700,9576,105,333
1,10,700,9587,105,333
1,10,700,9598,105,333
1,10,700,9609,105,333
1,10,700,9620,105,333
1,10,700,9631,105,333
1,10,700,9642,105,333
1,10,700,9653,105,333
1,10,700,9664,105,333
1,10,700,9675,105,333
1,10,700,9686,105,333
1,10,700,9697,105,333
1,10,700,9709,105,333
1,10,700,9720,105,333
1,10,700,9731,105,333
1,10,700,9742,105,333
1,10,700,9753,105,333
1,10,700,9764,105,333
1,10,700,9775,105,333
1,10,700,9786,105,333
1,10,700,9797,105,333
1,10,700,9808,105,333
1,10,700,9819,105,333
1,10,700,9830,105,333
1,10,700,9841,105,333
1,10,700,9852,105,333
1,10,700,9863,105,333
1,10,700,9874,105,333
1,10,700,9885,105,333
1,10,700,9896,105,333
1,10,700,9907,105,333
1,10,700,9918,105,333
1,10,700,9931,105,333
1,10,700,9942,105,333
1,10,700,9953,105,333
1,10,700,9964,105,333
1,10,700,9975,105,333
1,10,700,9986,105,333
1,10,700,9997,105,333
1,10,700,10008,105,333
1,10,700,10019,105,333
1,10,700,10030,105,333
1,10,700,10041,105,333
1,10,700,10053,105,333
1,10,700,10064,105,333
1,10,700,10075,105,333
1,10,700,10086,105,333
1,10,700,10097,105,333
1,10,700,10108,105,333
1,10,700,10119,105,333
1,10,700,10130,105,333
1,10,700,10141,105,333
1,10,700,10153,105,333
1,10,700,10164,105,333
1,10,700,10175,105,333
1,10,700,10186,105,333
1,10,700,10197,105,333
1,10,700,10208,105,333
1,10,700,10220,105,333
1,10,700,10231,105,333
1,10,700,10242,105,333
1,10,700,10253,105,333
1,10,700,10264,105,333
1,10,700,10275,105,333
1,10,700,10287,105,333
1,10,700,10298,105,333
1,10,700,10309,105,333
1,10,700,10320,105,333
1,10,700,10331,113,330
1,10,700,10342,118,327
