subnum,block,trial,practice,targdir,flankercoherence,flankerdir,time0,resp,corr,rt
aaa,0,1,1,-1,0,0,18032,<timeout>,0,801
aaa,0,2,1,1,1,1,20734,right,1,424
aaa,0,3,1,-1,NA,NA,23060,<timeout>,0,800
aaa,0,4,1,-1,1,-1,25761,<timeout>,0,800
aaa,0,5,1,-1,-1,1,28462,<timeout>,0,800
aaa,0,6,1,1,NA,NA,31164,<timeout>,0,800
aaa,0,7,1,1,0,0,33865,right,1,444
aaa,0,8,1,1,-1,-1,36210,left,0,426
aaa,1,9,0,-1,NA,NA,218523,<timeout>,0,800
aaa,1,10,0,1,0,0,220825,<timeout>,0,800
aaa,1,11,0,1,0,0,223126,<timeout>,0,800
aaa,1,12,0,-1,-1,1,225427,right,0,790
aaa,1,13,0,-1,NA,NA,227718,right,0,208
aaa,1,14,0,1,1,1,229428,left,0,362
aaa,1,15,0,-1,-1,1,231291,right,0,190
aaa,1,16,0,-1,1,-1,232983,left,1,534
aaa,1,17,0,-1,-1,1,235019,right,0,446
aaa,1,18,0,1,NA,NA,236967,right,1,708
aaa,1,19,0,1,0,0,239178,right,1,426
aaa,1,20,0,1,-1,-1,241105,left,0,445
aaa,1,21,0,-1,0,0,243052,<timeout>,0,800
