subnum,block,trial,practice,targdir,flankercoherence,flankerdir,time0,resp,corr,rt
aaaaa,0,1,1,1,NA,NA,5711,<timeout>,0,801
aaaaa,0,2,1,-1,1,-1,8413,left,1,539
aaaaa,0,3,1,-1,NA,NA,10853,left,1,475
aaaaa,0,4,1,1,0,0,13230,right,1,485
aaaaa,0,5,1,-1,0,0,15616,left,1,501
aaaaa,0,6,1,-1,-1,1,18019,right,0,396
aaaaa,0,7,1,1,1,1,20317,right,1,538
aaaaa,0,8,1,1,-1,-1,22757,left,0,410
aaaaa,1,9,0,1,0,0,29395,right,1,444
aaaaa,1,10,0,1,-1,-1,31341,right,1,552
aaaaa,1,11,0,1,NA,NA,33394,right,1,449
aaaaa,1,12,0,-1,NA,NA,35345,left,1,467
aaaaa,1,13,0,1,-1,-1,37313,right,1,543
aaaaa,1,14,0,1,0,0,39358,right,1,428
aaaaa,1,15,0,-1,-1,1,41288,left,1,584
aaaaa,1,16,0,-1,-1,1,43373,right,0,546
aaaaa,1,17,0,-1,0,0,45420,right,0,530
aaaaa,1,18,0,1,1,1,47452,right,1,409
aaaaa,1,19,0,-1,0,0,49362,<timeout>,0,800
