subnum,block,trial,practice,targdir,flankercoherence,flankerdir,time0,resp,corr,rt
111,0,1,1,1,1,1,9280,<lshift>,0,514
aaa,0,1,1,-1,0,0,18032,<timeout>,0,801
aaa,0,2,1,1,1,1,20734,right,1,424
aaa,0,3,1,-1,NA,NA,23060,<timeout>,0,800
aaa,0,4,1,-1,1,-1,25761,<timeout>,0,800
aaa,0,5,1,-1,-1,1,28462,<timeout>,0,800
aaa,0,6,1,1,NA,NA,31164,<timeout>,0,800
aaa,0,7,1,1,0,0,33865,right,1,444
aaa,0,8,1,1,-1,-1,36210,left,0,426
aaa,1,9,0,-1,NA,NA,218523,<timeout>,0,800
aaa,1,10,0,1,0,0,220825,<timeout>,0,800
aaa,1,11,0,1,0,0,223126,<timeout>,0,800
aaa,1,12,0,-1,-1,1,225427,right,0,790
aaa,1,13,0,-1,NA,NA,227718,right,0,208
aaa,1,14,0,1,1,1,229428,left,0,362
aaa,1,15,0,-1,-1,1,231291,right,0,190
aaa,1,16,0,-1,1,-1,232983,left,1,534
aaa,1,17,0,-1,-1,1,235019,right,0,446
aaa,1,18,0,1,NA,NA,236967,right,1,708
aaa,1,19,0,1,0,0,239178,right,1,426
aaa,1,20,0,1,-1,-1,241105,left,0,445
aaa,1,21,0,-1,0,0,243052,<timeout>,0,800
aaaaa,0,1,1,1,NA,NA,5711,<timeout>,0,801
aaaaa,0,2,1,-1,1,-1,8413,left,1,539
aaaaa,0,3,1,-1,NA,NA,10853,left,1,475
aaaaa,0,4,1,1,0,0,13230,right,1,485
aaaaa,0,5,1,-1,0,0,15616,left,1,501
aaaaa,0,6,1,-1,-1,1,18019,right,0,396
aaaaa,0,7,1,1,1,1,20317,right,1,538
aaaaa,0,8,1,1,-1,-1,22757,left,0,410
aaaaa,1,9,0,1,0,0,29395,right,1,444
aaaaa,1,10,0,1,-1,-1,31341,right,1,552
aaaaa,1,11,0,1,NA,NA,33394,right,1,449
aaaaa,1,12,0,-1,NA,NA,35345,left,1,467
aaaaa,1,13,0,1,-1,-1,37313,right,1,543
aaaaa,1,14,0,1,0,0,39358,right,1,428
aaaaa,1,15,0,-1,-1,1,41288,left,1,584
aaaaa,1,16,0,-1,-1,1,43373,right,0,546
aaaaa,1,17,0,-1,0,0,45420,right,0,530
aaaaa,1,18,0,1,1,1,47452,right,1,409
aaaaa,1,19,0,-1,0,0,49362,<timeout>,0,800
11111,0,1,1,1,NA,NA,10617,left,0,647
11111,0,2,1,-1,1,-1,13170,right,0,776
thtouh,0,1,1,-1,1,-1,21685,left,1,542
thtouh,0,2,1,-1,-1,1,24132,right,0,329
thtouh,0,3,1,1,1,1,26368,right,1,426
thtouh,0,4,1,1,NA,NA,28703,right,1,477
thtouh,0,5,1,-1,0,0,31087,left,1,437
thtouh,0,6,1,1,-1,-1,33431,right,1,498
thtouh,0,7,1,1,0,0,35835,right,1,439
thtouh,0,8,1,-1,NA,NA,38179,left,1,390
thtouh,1,9,0,-1,1,-1,45670,left,1,395
thtouh,1,10,0,-1,1,-1,47571,left,1,382
thtouh,1,11,0,1,0,0,49459,left,0,335
thtouh,1,12,0,-1,0,0,51299,<timeout>,0,800
tththht,0,1,1,1,1,1,9967,right,1,116
tththht,0,2,1,-1,-1,1,11989,left,1,413
