subnum,block,type,correctresponse,trial,choice,x,y,stim,present,response,responded,corr,starttime,rt
hdh,0,practice,P,1,2,1060,370,R,0,response,1,0,5104,857
hdh,0,practice,P,2,3,860,570,P,1,response,1,1,6975,751
hdh,0,practice,P,3,2,1060,370,P,1,response,1,1,8102,910
hdh,0,practice,P,4,1,860,370,P,1,response,1,1,9602,562
hdh,0,practice,P,5,3,860,570,P,1,response,1,1,11103,476
hdh,0,practice,P,6,3,860,570,R,0,response,1,0,12602,397
hdh,0,practice,P,7,3,860,570,P,1,response,1,1,14102,486
hdh,0,practice,P,8,4,1060,570,P,1,response,1,1,15602,539
hdh,0,practice,P,9,4,1060,570,P,1,response,1,1,17102,446
hdh,0,practice,P,10,2,1060,370,P,1,response,1,1,18603,498
hdh,1,test,P,1,4,1060,570,P,1,response,1,1,24050,571
hdh,1,test,P,2,1,860,370,R,0,NONE,0,1,25549,1450
hdh,1,test,P,3,2,1060,370,R,0,response,1,0,27049,391
hdh,1,test,P,4,3,860,570,R,0,response,1,0,28550,653
hdh,1,test,P,5,1,860,370,P,1,response,1,1,30049,562
hdh,1,test,P,6,2,1060,370,P,1,response,1,1,31549,411
hdh,1,test,P,7,2,1060,370,P,1,response,1,1,33050,471
hdh,1,test,P,8,4,1060,570,P,1,response,1,1,34550,559
hdh,1,test,P,9,2,1060,370,P,1,response,1,1,36050,748
hdh,1,test,P,10,3,860,570,P,1,response,1,1,37550,470
hdh,1,test,P,11,1,860,370,R,0,NONE,0,1,39050,1450
hdh,1,test,P,12,3,860,570,P,1,response,1,1,40549,418
hdh,1,test,P,13,3,860,570,P,1,response,1,1,42049,640
hdh,1,test,P,14,2,1060,370,P,1,response,1,1,43549,457
hdh,1,test,P,15,3,860,570,P,1,response,1,1,45050,494
hdh,1,test,P,16,3,860,570,R,0,response,1,0,46549,407
hdh,1,test,P,17,2,1060,370,P,1,NONE,0,0,48050,1450
