subnum,block,trial,target,targetname,forback,updown,hand,handname,resp,time1,rt,corr
11111,PRACTICE,1,1,redsquare,-1,1,-1,right,right,18610,867,1
11111,PRACTICE,2,1,redsquare,-1,1,1,left,left,20429,659,1
11111,PRACTICE,3,-1,greencircle,1,-1,-1,right,right,22041,898,1
11111,PRACTICE,4,1,redsquare,1,-1,-1,right,right,23892,756,1
11111,PRACTICE,5,-1,greencircle,1,-1,1,left,left,25601,939,1
11111,PRACTICE,6,1,redsquare,1,-1,1,left,left,27492,938,1
11111,PRACTICE,7,-1,greencircle,-1,1,1,left,left,29383,887,1
11111,PRACTICE,8,-1,greencircle,-1,-1,-1,right,right,31223,1136,1
11111,1,1,1,redsquare,-1,1,1,left,left,35745,892,1
11111,1,2,1,redsquare,-1,-1,-1,right,right,36839,1131,1
11111,1,3,-1,greencircle,-1,-1,-1,right,right,38172,981,1
11111,1,4,-1,greencircle,-1,1,-1,right,right,39355,634,1
11111,1,5,1,redsquare,1,-1,1,left,left,40191,744,1
11111,1,6,-1,greencircle,1,-1,1,left,left,41136,784,1
11111,1,7,-1,greencircle,1,1,1,left,left,42122,743,1
11111,1,8,1,redsquare,1,1,-1,right,right,43066,744,1
11111,1,9,-1,greencircle,1,1,-1,right,right,44012,743,1
11111,1,10,1,redsquare,1,1,1,left,right,44956,684,0
11111,1,11,1,redsquare,-1,-1,1,left,left,45842,1052,1
11111,1,12,-1,greencircle,1,-1,-1,right,right,47095,674,1
11111,1,13,-1,greencircle,-1,1,1,left,left,47970,684,1
11111,1,14,1,redsquare,-1,1,-1,right,right,48856,952,1
11111,1,15,-1,greencircle,-1,-1,1,left,left,50011,1429,1
11111,1,16,1,redsquare,1,-1,-1,right,left,51641,754,0
11111,2,17,1,redsquare,1,1,1,left,left,52597,1001,1
11111,2,18,1,redsquare,-1,1,-1,right,right,53799,1053,1
11111,2,19,-1,greencircle,-1,-1,-1,right,left,55053,1141,0
11111,2,20,1,redsquare,-1,-1,-1,right,left,56396,1579,0
11111,2,21,-1,greencircle,-1,-1,1,left,left,58178,1548,1
11111,2,22,-1,greencircle,1,-1,1,left,left,59929,742,1
11111,2,23,1,redsquare,1,-1,1,left,left,60873,1111,1
11111,2,24,1,redsquare,1,1,-1,right,right,62186,1161,1
11111,2,25,-1,greencircle,-1,1,1,left,left,63550,912,1
11111,2,26,1,redsquare,1,-1,-1,right,right,64664,1498,1
11111,2,27,1,redsquare,-1,-1,1,left,left,66364,1868,1
11111,2,28,-1,greencircle,1,-1,-1,right,right,68435,1020,1
11111,2,29,-1,greencircle,1,1,-1,right,left,69657,1221,0
11111,2,30,-1,greencircle,1,1,1,left,right,71081,1498,0
11111,2,31,-1,greencircle,-1,1,-1,right,right,72780,2057,1
11111,2,32,1,redsquare,-1,1,1,left,left,75040,2084,1
11111,3,33,1,redsquare,1,1,1,left,left,77327,1868,1
11111,3,34,1,redsquare,1,-1,-1,right,right,79397,2761,1
11111,3,35,1,redsquare,-1,1,-1,right,right,82360,893,1
11111,3,36,-1,greencircle,-1,1,-1,right,left,83455,693,0
11111,3,37,-1,greencircle,-1,1,1,left,left,84350,782,1
11111,3,38,1,redsquare,1,1,-1,right,right,85334,1600,1
11111,3,39,-1,greencircle,1,1,1,left,left,87137,2294,1
11111,3,40,1,redsquare,-1,-1,1,left,left,89632,1251,1
11111,3,41,-1,greencircle,1,-1,1,left,left,91086,1190,1
11111,3,42,-1,greencircle,1,-1,-1,right,right,92478,1061,1
11111,3,43,-1,greencircle,1,1,-1,right,right,93741,942,1
11111,3,44,-1,greencircle,-1,-1,-1,right,right,94886,1309,1
11111,3,45,1,redsquare,-1,1,1,left,left,96397,1091,1
11111,3,46,1,redsquare,-1,-1,-1,right,left,97690,1141,0
11111,3,47,-1,greencircle,-1,-1,1,left,right,99033,1011,0
11111,3,48,1,redsquare,1,-1,1,left,left,100245,1451,1
