subnum,maze,event,move,pos,x,y,abstime
example-data,maze,MOVE,[1, 2],880,435,7456
example-data,maze,MOVE,[1, 3],960,435,7672
example-data,maze,MOVE,[1, 4],1040,435,7885
example-data,maze,MOVE,[2, 4],1040,515,8065
example-data,maze,MOVE,[3, 4],1040,595,8238
example-data,maze,MOVE,[3, 5],1120,595,8468
example-data,maze,MOVE,[4, 5],1120,675,8647
example-data,maze,MOVE,[5, 5],1120,755,8849
example-data,JSON Object,MOVE,[1, 2],800,408,13864
example-data,JSON Object,MOVE,[2, 2],800,435,14156
example-data,JSON Object,MOVE,[2, 2],800,435,14452
example-data,JSON Object,MOVE,[2, 3],826,435,14726
example-data,JSON Object,MOVE,[3, 3],826,461,14894
example-data,JSON Object,MOVE,[3, 4],853,461,15194
example-data,JSON Object,MOVE,[3, 5],880,461,15441
example-data,JSON Object,MOVE,[2, 5],880,435,15647
example-data,JSON Object,MOVE,[2, 5],880,435,16077
example-data,JSON Object,MOVE,[1, 5],880,408,16271
example-data,JSON Object,MOVE,[1, 6],906,408,16460
example-data,JSON Object,MOVE,[2, 6],906,435,16650
example-data,JSON Object,MOVE,[2, 7],933,435,16939
example-data,JSON Object,MOVE,[3, 7],933,461,17132
example-data,JSON Object,MOVE,[4, 7],933,488,17455
example-data,JSON Object,MOVE,[4, 7],933,488,17771
example-data,JSON Object,MOVE,[5, 7],933,515,18174
example-data,JSON Object,MOVE,[5, 8],959,515,18369
example-data,JSON Object,MOVE,[4, 8],959,488,18520
example-data,JSON Object,MOVE,[4, 9],986,488,18717
example-data,JSON Object,MOVE,[4, 10],1013,488,18922
example-data,JSON Object,MOVE,[3, 10],1013,461,19063
example-data,JSON Object,MOVE,[2, 10],1013,435,19315
example-data,JSON Object,MOVE,[2, 11],1040,435,19673
example-data,JSON Object,MOVE,[2, 11],1040,435,19848
example-data,JSON Object,MOVE,[3, 11],1040,461,19988
example-data,JSON Object,MOVE,[3, 12],1066,461,20216
example-data,JSON Object,MOVE,[4, 12],1066,488,20374
example-data,JSON Object,MOVE,[4, 13],1093,488,20696
example-data,JSON Object,MOVE,[5, 13],1093,515,20898
example-data,JSON Object,MOVE,[5, 14],1120,515,21382
example-data,JSON Object,MOVE,[6, 14],1120,541,21548
example-data,JSON Object,MOVE,[7, 14],1120,568,21763
example-data,JSON Object,MOVE,[7, 13],1093,568,22019
example-data,JSON Object,MOVE,[7, 12],1066,568,22240
example-data,JSON Object,MOVE,[7, 11],1040,568,22722
example-data,JSON Object,MOVE,[7, 10],1013,568,22933
example-data,JSON Object,MOVE,[8, 10],1013,594,23161
example-data,JSON Object,MOVE,[9, 10],1013,621,23411
example-data,JSON Object,MOVE,[10, 10],1013,648,23608
example-data,JSON Object,MOVE,[10, 9],986,648,23845
example-data,JSON Object,MOVE,[9, 9],986,621,23975
example-data,JSON Object,MOVE,[9, 8],959,621,24151
example-data,JSON Object,MOVE,[10, 8],959,648,24427
example-data,JSON Object,MOVE,[11, 8],959,674,24647
example-data,JSON Object,MOVE,[11, 9],986,674,24819
example-data,JSON Object,MOVE,[12, 9],986,701,24943
example-data,JSON Object,MOVE,[12, 10],1013,701,25161
example-data,JSON Object,MOVE,[12, 11],1040,701,25489
example-data,JSON Object,MOVE,[13, 11],1040,728,25704
example-data,JSON Object,MOVE,[13, 12],1066,728,25872
example-data,JSON Object,MOVE,[12, 12],1066,701,26018
example-data,JSON Object,MOVE,[12, 13],1093,701,26356
example-data,JSON Object,MOVE,[11, 13],1093,674,26519
example-data,JSON Object,MOVE,[11, 14],1120,674,26939
example-data,JSON Object,MOVE,[12, 14],1120,701,27144
example-data,JSON Object,MOVE,[13, 14],1120,728,27368
example-data,JSON Object,MOVE,[14, 14],1120,754,27777
example-data,JSON Object,MOVE,[14, 15],1146,754,27994
example-data,JSON Object,MOVE,[15, 15],1146,781,28170
example-data,JSON Object,MOVE,[2, 1],773,435,31029
example-data,JSON Object,MOVE,[3, 1],773,461,31201
example-data,JSON Object,MOVE,[3, 2],800,461,31538
example-data,JSON Object,MOVE,[3, 3],826,461,31819
example-data,JSON Object,MOVE,[3, 4],853,461,32232
example-data,JSON Object,MOVE,[3, 5],880,461,32458
example-data,JSON Object,MOVE,[3, 6],906,461,32661
example-data,JSON Object,MOVE,[3, 7],933,461,32855
example-data,JSON Object,MOVE,[4, 7],933,488,33215
example-data,JSON Object,MOVE,[4, 8],959,488,33418
example-data,JSON Object,MOVE,[5, 8],959,515,33692
example-data,JSON Object,MOVE,[6, 8],959,541,35016
example-data,JSON Object,MOVE,[6, 7],933,541,35518
example-data,JSON Object,MOVE,[7, 7],933,568,35690
example-data,JSON Object,MOVE,[7, 6],906,568,35868
example-data,JSON Object,MOVE,[6, 6],906,541,37115
example-data,JSON Object,MOVE,[6, 5],880,541,37312
example-data,JSON Object,MOVE,[6, 4],853,541,37514
example-data,JSON Object,MOVE,[7, 4],853,568,37734
example-data,JSON Object,MOVE,[8, 4],853,594,37939
example-data,JSON Object,MOVE,[8, 3],826,594,38068
example-data,JSON Object,MOVE,[9, 3],826,621,38276
example-data,JSON Object,MOVE,[9, 3],826,621,38468
example-data,JSON Object,MOVE,[9, 2],800,621,38570
example-data,JSON Object,MOVE,[10, 2],800,648,38741
example-data,JSON Object,MOVE,[11, 2],800,674,38969
example-data,JSON Object,MOVE,[12, 2],800,701,39260
example-data,JSON Object,MOVE,[12, 3],826,701,39452
example-data,JSON Object,MOVE,[13, 3],826,728,39543
example-data,JSON Object,MOVE,[14, 3],826,754,39761
example-data,JSON Object,MOVE,[15, 3],826,781,39942
example-data,JSON Object,MOVE,[15, 4],853,781,40073
example-data,JSON Object,MOVE,[15, 5],880,781,40294
example-data,JSON Object,MOVE,[14, 5],880,754,40470
example-data,JSON Object,MOVE,[14, 6],906,754,40691
example-data,JSON Object,MOVE,[14, 7],933,754,40972
example-data,JSON Object,MOVE,[13, 7],933,728,41146
example-data,JSON Object,MOVE,[13, 8],959,728,41332
example-data,JSON Object,MOVE,[13, 9],986,728,41544
example-data,JSON Object,MOVE,[13, 10],1013,728,41737
example-data,JSON Object,MOVE,[13, 11],1040,728,41921
example-data,JSON Object,MOVE,[12, 11],1040,701,42070
example-data,JSON Object,MOVE,[12, 12],1066,701,42196
example-data,JSON Object,MOVE,[12, 13],1093,701,42407
example-data,JSON Object,MOVE,[13, 13],1093,728,42704
example-data,JSON Object,MOVE,[13, 14],1120,728,42874
example-data,JSON Object,MOVE,[14, 14],1120,754,43076
example-data,JSON Object,MOVE,[15, 14],1120,781,43300
example-data,JSON Object,MOVE,[15, 15],1146,781,43408
example-data,JSON Object,MOVE,[1, 2],800,408,48857
example-data,JSON Object,MOVE,[1, 3],826,408,49046
example-data,JSON Object,MOVE,[2, 3],826,435,49167
example-data,JSON Object,MOVE,[2, 4],853,435,49398
example-data,JSON Object,MOVE,[3, 4],853,461,49658
example-data,JSON Object,MOVE,[4, 4],853,488,49910
example-data,JSON Object,MOVE,[5, 4],853,515,50143
example-data,JSON Object,MOVE,[5, 3],826,515,50254
example-data,JSON Object,MOVE,[6, 3],826,541,50446
example-data,JSON Object,MOVE,[7, 3],826,568,50659
example-data,JSON Object,MOVE,[8, 3],826,594,50846
