subnum,block,time,trial,practice,targdir,oddballcoherence,oddballdir,time0,resp,corr,rt
example,0,8339,1,1,1,-1,0,7363,left,1,575
example,0,10800,2,1,2,1,0,10363,right,1,36
example,0,14270,3,1,2,1,0,13363,right,1,505
example,0,17178,4,1,2,-1,1,16363,left,0,413
example,0,20160,5,1,2,1,0,19363,right,1,395
example,0,23233,6,1,1,-1,0,22363,left,1,469
example,0,26246,7,1,2,-1,1,25363,right,1,482
example,0,29246,8,1,1,1,1,28363,left,1,481
example,0,32213,9,1,1,1,1,31363,left,1,448
example,0,35333,10,1,2,1,0,34363,right,1,568
example,0,38281,11,1,1,-1,0,37363,left,1,517
example,0,41120,12,1,1,-1,0,40363,left,1,355
example,1,49273,1,0,2,1,0,48487,right,1,785
example,1,51991,2,0,1,-1,0,51487,left,1,503
example,1,55092,3,0,1,-1,0,54487,left,1,603
example,1,57785,4,0,1,-1,0,57487,left,1,297
example,1,60818,5,0,1,-1,0,60487,left,1,330
example,1,63816,6,0,1,-1,0,63487,left,1,328
example,1,66819,7,0,1,-1,0,66487,left,1,331
example,1,69786,8,0,2,1,0,69487,right,1,298
example,1,72884,9,0,1,-1,0,72487,left,1,395
example,1,75790,10,0,1,-1,0,75487,left,1,302
example,1,78934,11,0,2,1,0,78487,right,1,445
example,1,81883,12,0,2,-1,1,81487,left,0,395
example,1,84827,13,0,2,1,0,84487,right,1,338
example,1,89988,14,0,1,-1,0,87487,<timeout>,0,2500
example,1,90956,15,0,1,-1,0,90487,right,0,468
example,1,93938,16,0,2,1,0,93487,right,1,450
example,1,97070,17,0,1,1,1,96487,left,1,581
example,1,99815,18,0,1,-1,0,99487,left,1,326
example,1,102844,19,0,1,-1,0,102487,right,0,356
example,1,105796,20,0,1,-1,0,105487,left,1,308
