subnum,block,time,trial,practice,targdir,oddballcoherence,oddballdir,time0,resp,corr,rt
example,0,8339,1,1,1,-1,0,7363,left,1,575
example,0,10800,2,1,2,1,0,10363,right,1,36
example,0,14270,3,1,2,1,0,13363,right,1,505
example,0,17178,4,1,2,-1,1,16363,left,0,413
example,0,20160,5,1,2,1,0,19363,right,1,395
example,0,23233,6,1,1,-1,0,22363,left,1,469
example,0,26246,7,1,2,-1,1,25363,right,1,482
example,0,29246,8,1,1,1,1,28363,left,1,481
example,0,32213,9,1,1,1,1,31363,left,1,448
example,0,35333,10,1,2,1,0,34363,right,1,568
example,0,38281,11,1,1,-1,0,37363,left,1,517
example,0,41120,12,1,1,-1,0,40363,left,1,355
example,1,49273,1,0,2,1,0,48487,right,1,785
example,1,51991,2,0,1,-1,0,51487,left,1,503
example,1,55092,3,0,1,-1,0,54487,left,1,603
example,1,57785,4,0,1,-1,0,57487,left,1,297
example,1,60818,5,0,1,-1,0,60487,left,1,330
example,1,63816,6,0,1,-1,0,63487,left,1,328
example,1,66819,7,0,1,-1,0,66487,left,1,331
example,1,69786,8,0,2,1,0,69487,right,1,298
example,1,72884,9,0,1,-1,0,72487,left,1,395
example,1,75790,10,0,1,-1,0,75487,left,1,302
example,1,78934,11,0,2,1,0,78487,right,1,445
example,1,81883,12,0,2,-1,1,81487,left,0,395
example,1,84827,13,0,2,1,0,84487,right,1,338
example,1,89988,14,0,1,-1,0,87487,<timeout>,0,2500
example,1,90956,15,0,1,-1,0,90487,right,0,468
example,1,93938,16,0,2,1,0,93487,right,1,450
example,1,97070,17,0,1,1,1,96487,left,1,581
example,1,99815,18,0,1,-1,0,99487,left,1,326
example,1,102844,19,0,1,-1,0,102487,right,0,356
example,1,105796,20,0,1,-1,0,105487,left,1,308
tht,0,7225,1,1,2,-1,1,6217,right,1,603
tht,0,12121,2,1,2,1,0,9217,<timeout>,0,2500
m,0,9034,1,1,1,-1,0,6131,<timeout>,0,2500
teoahua,0,12822,1,1,2,1,0,9919,<timeout>,0,2500
teoahua,0,13324,2,1,1,1,1,12918,right,0,4
teoahua,0,16568,3,1,1,1,1,15918,right,0,246
teoahua,0,20080,4,1,1,-1,0,18918,left,1,758
teoahua,0,22749,5,1,2,-1,1,21918,left,0,427
eoauha,0,14323,1,1,2,-1,1,9799,<timeout>,0,4120
eoauha,0,17401,2,1,1,-1,0,14324,right,0,2674
eoauha,0,19084,3,1,2,1,0,17402,left,0,1278
eoauha,0,20387,4,1,1,-1,0,19085,left,1,898
eoauha,0,22780,5,1,1,1,1,21799,left,1,577
eoauha,0,25822,6,1,1,-1,0,24799,left,1,619
eoauha,0,28750,7,1,1,-1,0,27799,left,1,548
eoauha,0,31793,8,1,2,1,0,30799,left,0,590
ueoauau,0,15860,1,1,1,-1,0,12956,<timeout>,0,2500
hth,0,29520,1,1,1,-1,0,28375,right,0,744
hth,0,34277,2,1,2,1,0,31375,<timeout>,0,2500
hth,0,37276,3,1,2,1,0,34375,<timeout>,0,2500
hth,0,40276,4,1,1,-1,0,37375,<timeout>,0,2500
hth,0,41184,5,1,2,1,0,40375,right,1,408
hth,0,44863,6,1,2,1,0,43375,left,0,1087
hth,0,47484,7,1,1,1,1,46375,left,1,708
hth,0,50332,8,1,2,-1,1,49375,right,1,556
hth,0,53263,9,1,2,-1,1,52375,left,0,486
hth,0,56394,10,1,1,-1,0,55375,left,1,617
hth,0,59819,11,1,1,-1,0,58375,right,0,1042
hth,0,62296,12,1,1,1,1,61375,right,0,520
ntoeuhao,0,8601,1,1,1,-1,0,6593,right,0,1607
ntoeuhao,0,10634,2,1,1,1,1,9593,right,0,640
ntoeuhao,0,13485,3,1,1,-1,0,12593,left,1,490
ntoeuhao,0,16413,4,1,2,1,0,15593,right,1,418
ntoeuhao,0,19499,5,1,1,-1,0,18593,left,1,504
ntoeuhao,0,22744,6,1,2,-1,1,21593,right,1,749
ntoeuhao,0,25543,7,1,2,1,0,24593,right,1,548
ntoeuhao,0,28448,8,1,2,1,0,27593,right,1,453
ntoeuhao,0,31466,9,1,2,1,0,30593,right,1,472
ntoeuhao,0,34713,10,1,2,-1,1,33593,left,0,718
ntoeuhao,0,37541,11,1,1,-1,0,36593,left,1,546
ntoeuhao,0,40508,12,1,1,1,1,39593,left,1,514
ntoeuhao,1,48953,1,0,2,1,0,47884,right,1,1068
ntoeuhao,1,51184,2,0,2,1,0,50884,right,1,299
ntoeuhao,1,54248,3,0,1,-1,0,53884,left,1,363
thth,0,12405,1,1,1,1,1,10512,left,1,1492
thth,0,15078,2,1,2,1,0,13512,right,1,1163
