subnum,trial,blocktype,type,clicks,hits,clicktime,posx,posy,corr,id,rt,rt2
aaaaa,1P,practice,number,1,1,4510,1048,375,1,1,962,962
aaaaa,1P,practice,number,2,2,4981,929,412,1,2,471,471
aaaaa,1P,practice,number,4,2,6275,1015,455,0,4,1294,1294
aaaaa,1P,practice,number,5,3,6936,1050,514,1,3,661,1955
aaaaa,1P,practice,number,6,4,7259,1007,451,1,4,323,323
aaaaa,1,test,number,1,1,8912,1297,274,1,1,1113,1113
aaaaa,1,test,number,2,2,9348,1220,267,1,2,436,436
aaaaa,1,test,number,3,3,9925,1031,268,1,3,577,577
aaaaa,1,test,number,4,4,10396,1137,238,1,4,471,471
aaaaa,1,test,number,5,5,11373,863,242,1,5,977,977
aaaaa,1,test,number,6,6,11985,870,353,1,6,612,612
aaaaa,1,test,number,7,7,12927,1108,352,1,7,942,942
aaaaa,1,test,number,8,8,13307,1061,398,1,8,380,380
aaaaa,1,test,number,9,9,13658,1107,471,1,9,351,351
aaaaa,1,test,number,11,10,14593,1081,541,1,10,935,935
aaaaa,1,test,number,12,11,15219,962,595,1,11,626,626
aaaaa,1,test,number,13,12,15739,906,507,1,12,520,520
aaaaa,1,test,number,14,13,16386,874,462,1,13,647,647
aaaaa,1,test,number,15,14,16758,796,417,1,14,372,372
aaaaa,1,test,number,16,15,21251,588,502,1,15,4493,4493
aaaaa,1,test,number,17,16,21771,700,370,1,16,520,520
aaaaa,1,test,number,18,17,23396,641,675,1,17,1625,1625
aaaaa,1,test,number,19,18,24612,637,583,1,18,1216,1216
aaaaa,1,test,number,20,19,25336,686,536,1,19,724,724
aaaaa,1,test,number,21,20,25779,702,640,1,20,443,443
aaaaa,1,test,number,22,21,26341,760,534,1,21,562,562
aaaaa,1,test,number,23,22,27023,834,704,1,22,682,682
aaaaa,1,test,number,24,23,27853,1128,689,1,23,830,830
aaaaa,1,test,number,25,24,28190,1198,715,1,24,337,337
aaaaa,1,test,number,26,25,28732,1319,695,1,25,542,542
aaaaa,1,test,number,27,26,29259,1266,592,1,26,527,527
aaaaa,2P,practice,letter,1,1,31214,1015,395,1,1,1202,1202
aaaaa,2P,practice,letter,2,2,32226,912,561,1,2,1012,1012
aaaaa,2P,practice,letter,3,3,32747,927,461,1,3,521,521
aaaaa,2P,practice,letter,4,4,33126,974,544,1,4,379,379
aaaaa,2,test,letter,1,1,35017,1298,688,1,1,1372,1372
aaaaa,2,test,letter,2,2,35405,1203,681,1,2,388,388
aaaaa,2,test,letter,3,3,36466,1039,666,1,3,1061,1061
aaaaa,2,test,letter,4,4,37134,1136,712,1,4,668,668
aaaaa,2,test,letter,5,5,38667,878,672,1,5,1533,1533
aaaaa,2,test,letter,6,6,39089,883,592,1,6,422,422
aaaaa,2,test,letter,7,7,40165,1129,602,1,7,1076,1076
