subnum,trial,type,pos,compatible,resp,corr,time,rt
example,1,2,50,1,<rshift>,1,19130,364
example,2,2,-200,-1,<rshift>,1,20181,479
example,3,1,-50,1,<lshift>,1,21460,402
example,4,2,-100,-1,<lshift>,0,22648,379
example,5,2,-200,-1,<lshift>,0,23718,523
example,6,2,-50,-1,<rshift>,1,24901,383
example,7,1,-100,1,<lshift>,1,26014,403
example,8,1,0,0,<lshift>,1,27026,454
example,9,2,200,1,<rshift>,1,28091,424
example,10,2,50,1,<rshift>,1,29229,545
example,11,2,0,0,<rshift>,1,30506,383
example,12,1,100,-1,<rshift>,0,31565,374
example,13,2,-100,-1,<lshift>,0,32654,342
example,14,2,-200,-1,<lshift>,0,33763,358
example,15,1,-200,1,<rshift>,0,34779,718
example,16,1,-100,1,<lshift>,1,36189,414
example,17,1,-50,1,<lshift>,1,37289,345
example,18,1,50,-1,<lshift>,1,38351,559
example,19,1,-50,1,<lshift>,1,39647,344
example,20,1,200,-1,<lshift>,1,40674,552
example,21,1,100,-1,<lshift>,1,41952,397
example,22,1,-200,1,<lshift>,1,43143,307
example,23,1,-200,1,<lshift>,1,44148,471
example,24,2,100,1,<rshift>,1,45325,565
example,25,2,200,1,<rshift>,1,46610,304
example,26,1,100,-1,<lshift>,1,47528,428
example,27,1,-100,1,<lshift>,1,48620,314
example,28,2,-50,-1,<lshift>,0,49602,328
example,29,1,200,-1,<rshift>,0,50659,300
example,30,2,0,0,<rshift>,1,51610,658
example,31,2,100,1,<rshift>,1,52956,295
example,32,2,-50,-1,<rshift>,1,53893,573
example,33,1,50,-1,<lshift>,1,55202,1159
example,34,2,-200,-1,<rshift>,1,57049,759
example,35,1,50,-1,<lshift>,1,58434,520
example,36,1,-50,1,<lshift>,1,59578,412
example,37,2,200,1,<rshift>,1,60736,393
example,38,2,0,0,<rshift>,1,61883,378
example,39,2,0,0,<rshift>,1,62891,323
example,40,2,-100,-1,<rshift>,1,63969,377
example,41,2,-50,-1,<rshift>,1,65011,348
example,42,1,100,-1,<rshift>,0,66122,326
example,43,1,-200,1,<lshift>,1,67076,644
example,44,2,50,1,<rshift>,1,68498,501
example,45,2,-100,-1,<rshift>,1,69726,381
example,46,2,50,1,<rshift>,1,70792,377
example,47,1,200,-1,<lshift>,1,71837,418
example,48,1,0,0,<lshift>,1,72866,408
example,49,2,200,1,<rshift>,1,74072,386
example,50,1,0,0,<lshift>,1,75259,1277
example,51,2,100,1,<rshift>,1,81657,448
example,52,1,0,0,<lshift>,1,82829,310
example,53,1,200,-1,<rshift>,0,83932,341
example,54,2,100,1,<lshift>,0,85064,457
example,55,1,-100,1,<lshift>,1,86148,464
example,56,1,50,-1,<lshift>,1,87323,324
