subnum,trial,type,pos,compatible,resp,corr,abstime,time,rt
hth,PRACTICE1,2,0,0,right,1,8922,8511,411
hth,PRACTICE2,2,50,1,left,0,9793,9675,118
hth,PRACTICE3,1,200,-1,right,0,10827,10544,283
hth,PRACTICE4,1,100,-1,left,1,12078,11586,492
hth,PRACTICE5,2,100,1,right,1,13491,12831,660
hth,PRACTICE6,1,-200,1,left,1,14728,14234,494
hth,PRACTICE7,2,-200,-1,right,1,16239,15376,863
hth,PRACTICE8,2,-50,-1,right,1,17631,16917,714
hth,PRACTICE9,1,-100,1,left,1,19100,18314,786
hth,PRACTICE10,2,-100,-1,right,1,20386,19832,554
