sub,trial,size,current,end,step,abstime,trialtime,clicktime,done
12616,1,3,223,111,0,1833,0,0,0
12616,1,3,223,111,1,6313,4480,4480,0
12616,1,3,221,111,2,7521,5688,1208,0
12616,1,3,231,111,3,8650,6817,1129,0
12616,1,3,233,111,4,9462,7629,812,0
12616,1,3,233,111,5,10278,8445,816,0
12616,1,3,233,111,6,11054,9221,776,0
12616,1,3,233,111,7,11758,9925,704,0
12616,1,3,233,111,8,12954,11121,1196,0
12616,1,3,133,111,9,13851,12018,897,0
12616,1,3,132,111,10,14520,12687,669,0
12616,1,3,112,111,11,15327,13494,807,0
12616,1,3,111,111,12,16202,14369,875,1
