sub,trial,drawlimit,type,resp,corr,count,time,stimseq,evidencbias,totalpoints
16161,1,12,2,<rshift>,1,4,6189,222,2,1925
16161,2,12,2,<rshift>,1,4,1182,222,2,2850
16161,3,12,1,<lshift>,1,5,2194,1211,1.25,3750
16161,4,12,1,<lshift>,1,6,2138,12111,1.2,4625
16161,5,12,1,<lshift>,1,5,1771,1111,1,5525
16161,6,12,2,<rshift>,1,7,2184,221222,1.83333,6375
16161,7,12,2,<rshift>,1,7,1997,221222,1.83333,7225
16161,8,12,1,<lshift>,1,5,1426,1111,1,8125
16161,9,12,2,<rshift>,1,5,1332,2222,2,9025
16161,10,12,2,<rshift>,1,6,1476,12222,1.8,9900
16161,11,12,2,<rshift>,1,6,1442,12221,1.6,10775
16161,12,12,2,<rshift>,1,6,1563,22222,2,11650
16161,13,12,1,<lshift>,1,8,1882,2211111,1.28571,12475
16161,14,12,1,<lshift>,1,7,1643,111111,1,13325
16161,15,12,2,<rshift>,1,10,4231,121212222,1.66667,14100
16161,16,12,1,<lshift>,1,5,1829,1111,1,15000
16161,17,12,1,<rshift>,0,4,1707,221,1.66667,9925
16161,18,12,2,<rshift>,1,5,1413,2222,2,10825
16161,19,12,2,<rshift>,1,5,2295,2221,1.75,11725
16161,20,12,1,<lshift>,1,10,4200,221121111,1.33333,12500
16161,21,12,1,<lshift>,1,5,1578,1111,1,13400
16161,22,12,1,<lshift>,1,4,1298,111,1,14325
16161,23,12,2,<rshift>,1,10,6999,112212222,1.66667,15100
16161,24,12,2,<rshift>,1,5,2092,2222,2,16000
16161,25,12,2,<rshift>,1,8,4773,2212212,1.71429,16825
16161,26,12,1,<lshift>,1,5,1572,1111,1,17725
16161,27,12,2,<rshift>,1,7,1971,212222,1.83333,18575
16161,28,12,2,<rshift>,1,8,2135,1122222,1.71429,19400
16161,29,12,1,<lshift>,1,9,2163,11121111,1.125,20200
16161,30,12,2,<rshift>,1,10,4014,212122122,1.66667,20975
16161,31,12,1,<lshift>,1,6,1641,21111,1.2,21850
16161,32,12,1,<lshift>,1,8,2397,1121211,1.28571,22675
16161,33,12,2,<rshift>,1,5,1479,2222,2,23575
16161,34,12,2,<rshift>,1,8,3125,2112222,1.71429,24400
16161,35,12,2,<rshift>,1,5,1449,2222,2,25300
16161,36,12,2,<rshift>,1,4,1300,222,2,26225
16161,37,12,2,<rshift>,1,4,1447,222,2,27150
16161,38,12,1,<lshift>,1,5,1761,2111,1.25,28050
16161,39,12,1,<lshift>,1,5,1729,2111,1.25,28950
16161,40,12,1,<lshift>,1,4,1361,111,1,29875
16161,41,12,1,<lshift>,1,4,1300,111,1,30800
16161,42,12,1,<rshift>,0,6,2310,12111,1.2,25675
16161,43,12,2,<rshift>,1,5,2183,2212,1.75,26575
16161,44,12,1,<lshift>,1,7,4751,112211,1.33333,27425
16161,45,12,1,<lshift>,1,5,1632,2111,1.25,28325
16161,46,12,2,<rshift>,1,9,3556,22111222,1.625,29125
16161,47,12,1,<lshift>,1,6,6681,12111,1.2,30000
16161,48,12,2,<rshift>,1,7,2973,212222,1.83333,30850
16161,49,12,1,<lshift>,1,6,2139,11211,1.2,31725
16161,50,12,1,<lshift>,1,6,1921,21111,1.2,32600
