subnum,trial,config,c1,c2,c3,c4,sampleprob,rainprob,prob2,time,rt,resp,outcome,correct
111,1,A,0,0,0,1,0.14,0.15,0.15,21162,1241,right,0,1
111,2,H,1,0,0,0,0.14,0.85,0.85,23406,476,left,1,1
111,3,H,1,0,0,0,0.14,0.85,0.85,24884,925,left,1,1
111,4,B,0,0,1,0,0.084,0.38,0.38,26812,760,right,0,1
111,5,L,1,1,0,0,0.087,0.9,0.9,28574,507,left,1,1
111,6,J,1,0,1,0,0.064,0.82,0.82,30083,409,right,1,0
111,7,B,0,0,1,0,0.084,0.38,0.38,31997,709,right,0,1
111,8,K,1,0,1,1,0.032,0.43,0.43,33709,780,right,0,1
111,9,L,1,1,0,0,0.087,0.9,0.9,35493,840,left,1,1
111,10,E,0,1,0,1,0.064,0.18,0.18,37336,759,right,0,1
111,11,G,0,1,1,1,0.041,0.21,0.21,39097,525,right,0,1
111,12,N,1,1,1,0,0.041,0.79,0.79,40625,625,left,1,1
111,13,H,1,0,0,0,0.14,0.85,0.85,42253,503,left,1,1
111,14,A,0,0,0,1,0.14,0.15,0.15,43759,382,right,0,1
111,15,F,0,1,1,0,0.047,0.5,0.5,45145,297,right,1,0
111,16,A,0,0,0,1,0.14,0.15,0.15,46945,396,right,0,1
111,17,I,1,0,0,1,0.058,0.5,0.5,48345,1498,right,0,1
111,18,E,0,1,0,1,0.064,0.18,0.18,50847,1223,left,0,0
111,19,F,0,1,1,0,0.047,0.5,0.5,53573,627,right,0,1
111,20,M,1,1,0,1,0.032,0.57,0.57,55202,599,left,1,1
111,21,C,0,0,1,1,0.087,0.1,0.1,56803,1010,right,0,1
111,22,F,0,1,1,0,0.047,0.5,0.5,58816,964,left,1,1
